date,open,high,low,volume,close
09/01/2013 18:18:59,1640.25,1642,1639,21722,1641.25
09/01/2013 21:42:07,1641.25,1643.5,1639.75,21713,1640.75
09/02/2013 2:05:25,1640.75,1644.5,1640.5,21645,1644.5
09/02/2013 3:02:09,1644.5,1646,1642.75,21722,1645.25
09/02/2013 4:32:44,1645.25,1647.25,1644.25,21654,1645.5
09/02/2013 6:40:20,1645.5,1648,1645.25,21574,1648
09/02/2013 8:06:35,1648,1648.5,1646,21706,1646.75
09/02/2013 9:47:12,1646.75,1647.75,1645.25,21652,1647.5
09/02/2013 18:20:51,1647.5,1648.5,1645.25,21637,1646
09/02/2013 23:27:39,1646,1648.25,1645.25,21640,1647.75
09/03/2013 2:11:45,1647.75,1649,1646.25,21632,1647
09/03/2013 3:06:40,1647,1648.5,1646.5,21636,1648
09/03/2013 3:54:26,1648,1648.5,1643.5,21648,1643.75
09/03/2013 4:00:01,1643.75,1644.5,1642.5,21681,1643.25
09/03/2013 4:09:58,1643.25,1646.75,1642.25,21662,1643.75
09/03/2013 4:48:46,1643.75,1645.5,1642.25,21707,1644
09/03/2013 6:05:34,1644,1647,1642.75,21664,1645.25
09/03/2013 6:53:54,1645.25,1647,1642.5,21516,1644
09/03/2013 7:37:18,1644,1646.25,1643.5,21827,1645.75
09/03/2013 8:16:15,1645.75,1647,1645.5,21656,1646
09/03/2013 8:30:05,1646,1647,1645.5,21524,1647
09/03/2013 8:31:19,1647,1648.75,1646.25,21758,1648.75
09/03/2013 8:32:05,1648.75,1649.25,1647.75,21613,1647.75
09/03/2013 8:33:54,1647.75,1649,1647.5,21635,1649
09/03/2013 8:35:18,1649,1649.5,1647.75,21616,1649.5
09/03/2013 8:37:17,1649.5,1650,1648.5,21613,1648.75
09/03/2013 8:40:20,1648.75,1649.75,1648.25,21621,1649.5
09/03/2013 8:43:13,1649.5,1649.75,1647.5,21609,1648.25
09/03/2013 8:47:08,1648.25,1648.5,1647.25,21640,1647.25
09/03/2013 8:51:22,1647.25,1648,1646.75,21643,1647.5
09/03/2013 8:55:37,1647.5,1647.75,1646.25,21644,1647.5
09/03/2013 9:01:00,1647.5,1648,1645.5,21642,1645.75
09/03/2013 9:02:50,1645.75,1646.25,1644.25,21663,1645.25
09/03/2013 9:06:22,1645.25,1647.25,1645,21580,1647.25
09/03/2013 9:10:25,1647.25,1647.5,1645.5,21720,1647.25
09/03/2013 9:13:22,1647.25,1648.75,1647,21629,1648.25
09/03/2013 9:17:18,1648.25,1648.5,1645.5,21644,1645.75
09/03/2013 9:21:27,1645.75,1646.25,1644,21664,1644.5
09/03/2013 9:26:00,1644.5,1645.25,1643.75,21655,1645
09/03/2013 9:30:32,1645,1645.75,1644.5,21688,1645
09/03/2013 9:37:01,1645,1646.5,1644.75,21533,1646
09/03/2013 9:44:58,1646,1647,1645.75,21719,1646.75
09/03/2013 9:50:20,1646.75,1647.75,1646.5,21685,1646.5
09/03/2013 9:57:08,1646.5,1646.5,1644.75,21643,1644.75
09/03/2013 10:01:36,1644.75,1646,1644.5,21691,1645.5
09/03/2013 10:11:50,1645.5,1646.5,1644.75,21659,1646.25
09/03/2013 10:18:05,1646.25,1646.75,1644,21634,1644.75
09/03/2013 10:20:24,1644.75,1645.25,1642.5,21672,1643
09/03/2013 10:23:03,1643,1643.25,1641.5,21745,1641.75
09/03/2013 10:24:27,1641.75,1642,1640,21724,1640.5
09/03/2013 10:27:07,1640.5,1641.5,1640.25,21723,1640.75
09/03/2013 10:28:21,1640.75,1640.75,1638.5,21743,1639
09/03/2013 10:30:18,1639,1639.5,1637.25,21749,1637.5
09/03/2013 10:32:31,1637.5,1639.5,1637.25,21760,1639
09/03/2013 10:35:57,1639,1639.5,1638.25,21722,1638.5
09/03/2013 10:40:05,1638.5,1639.25,1637.5,21781,1638.75
09/03/2013 10:45:22,1638.75,1640,1637.5,21747,1637.75
09/03/2013 10:48:39,1637.75,1638.5,1636.25,21772,1637.5
09/03/2013 10:53:38,1637.5,1639.25,1637.5,21747,1639.25
09/03/2013 11:00:39,1639.25,1639.25,1637.25,21206,1637.5
09/03/2013 11:06:31,1637.5,1638.75,1637.25,22332,1638.75
09/03/2013 11:14:39,1638.75,1639.5,1638,21736,1638
09/03/2013 11:21:21,1638,1638.25,1636.25,21767,1636.75
09/03/2013 11:29:14,1636.75,1638.25,1636.25,21779,1637
09/03/2013 11:36:38,1637,1638.25,1636.5,21660,1636.75
09/03/2013 11:43:22,1636.75,1637.75,1635.5,21879,1636.5
09/03/2013 11:47:22,1636.5,1636.5,1634.25,21671,1634.5
09/03/2013 11:51:14,1634.5,1635,1633.75,21945,1634.5
09/03/2013 11:59:53,1634.5,1635.25,1633.25,21797,1633.75
09/03/2013 12:04:45,1633.75,1634,1632.5,21695,1632.75
09/03/2013 12:10:12,1632.75,1634.5,1632,21966,1634.25
09/03/2013 12:16:31,1634.25,1635.5,1634,21806,1634.25
09/03/2013 12:22:21,1634.25,1634.5,1632.25,21824,1632.75
09/03/2013 12:32:28,1632.75,1635,1632.75,21811,1634
09/03/2013 12:45:52,1634,1635.5,1633.75,21808,1633.75
09/03/2013 12:50:47,1633.75,1633.75,1631.5,21809,1632.5
09/03/2013 12:58:38,1632.5,1633.75,1632.25,21839,1632.5
09/03/2013 13:06:51,1632.5,1634.25,1631.5,21836,1633.5
09/03/2013 13:14:08,1633.5,1635.5,1633,21807,1634.75
09/03/2013 13:22:38,1634.75,1635.25,1632,21804,1632
09/03/2013 13:28:45,1632,1633.25,1631.5,21822,1631.5
09/03/2013 13:32:44,1631.5,1634.5,1631.25,21842,1634.25
09/03/2013 13:39:13,1634.25,1634.75,1632.5,21701,1633.75
09/03/2013 13:46:36,1633.75,1634,1631.5,21945,1631.75
09/03/2013 13:51:56,1631.75,1633.75,1630.75,21833,1631.75
09/03/2013 13:56:19,1631.75,1634.75,1631.5,21831,1634
09/03/2013 14:03:17,1634,1635.25,1633.75,21804,1634.5
09/03/2013 14:05:52,1634.5,1637,1634.5,21766,1636.5
09/03/2013 14:08:15,1636.75,1638.25,1636.5,21792,1638
09/03/2013 14:11:11,1638,1638.5,1637.25,21759,1637.25
09/03/2013 14:16:37,1637.25,1639,1637.25,21753,1638.5
09/03/2013 14:23:14,1638.5,1638.5,1637,21773,1637.5
09/03/2013 14:30:27,1637.5,1638,1636.5,21777,1638
09/03/2013 14:37:30,1637.75,1638.25,1636.75,21766,1637.25
09/03/2013 14:42:46,1637.25,1638.5,1637,21633,1638.25
09/03/2013 14:46:36,1638.25,1639.5,1638,21873,1638.75
09/03/2013 14:48:59,1638.75,1639,1635.75,21779,1636
09/03/2013 14:53:33,1636,1636.75,1635,21774,1636.25
09/03/2013 14:57:08,1636.25,1637.25,1636,21789,1636.25
09/03/2013 14:59:33,1636.25,1636.75,1635.5,21780,1636.25
09/03/2013 15:00:00,1636,1638,1636,21783,1637.75
09/03/2013 15:00:33,1637.75,1638,1637,21714,1637.75
09/03/2013 15:02:45,1637.75,1638.75,1637,21815,1638.25
