"","ForeignInvestment","ElectricityAccess","RenewableEnergy","CO2Emission","Inflation","MobileSubscriptions","InternetUse","Exports","Imports","GDP","MortalityMale","MortalityFemale","BirthRate","DeathRate","MortalityInfant","LifeExpectancy","FertilityRate","PopulationGrowth","UrbanPopulation"
"129",13.8368260048838,100,3.87316274177259,11.0170708560989,1.275552568,114.961909838669,90.72,71.9539771215749,63.5910323160922,50338.2548273725,54.901,74.177,11.1,8.2,3.8,80.7024390243902,1.79,0.512923100553586,87.061
"130",5.04141347204387,100,56.4245557827767,12.2934544997885,2.399257688,114.601428852706,93.39,39.7251997984377,28.4648918029146,87770.2668443401,50.096,79.588,12.6,8.5,2.6,80.9975609756098,1.95,1.24566617956207,79.102
"131",0.548294665887946,66.9937438964844,87.2924485879784,0.187128274559686,9.324000504,34.0284771527451,7.93,9.58253617198229,36.4023696022884,592.183521642014,156.955,197.423,22.83,6.67,37.4,67.914,2.606,1.04916050907034,16.822
"132",0.195323406109297,100,31.3226917275425,7.3050058611258,2.302025783,107.778791239117,80.46,30.2605318782874,27.9658850710318,33691.3483689734,54.392,85.432,14.68,6.53,5.1,80.7024390243902,2.17,1.1117260560215,86.165
"133",2.11906280336238,100,0,15.5905311922564,3.203396372,151.444799537064,35.8278,65.6528051042857,41.2104064557599,19280.7473537557,75.76,121.47,21.978,2.799,10,75.694,2.901,5.35263627653983,75.161
"134",1.13975303013467,89.8137741088867,46.7220403019112,0.946268168264502,13.88113926,58.1529890722091,8,13.5162678459051,19.3526587348244,1040.14226787636,152.708,185.625,30.175,7.767,73.6,65.134,3.855,2.07975534677765,36.598
"135",8.81516882685737,86.85,19.9374057230032,2.51531007443411,3.491288726,182.430496961206,40.1,66.2757805043365,75.5612576598011,7937.25993090731,84.128,159.185,21.102,4.909,16.8,76.828,2.622,1.76774570105356,65.115
"136",5.73082661489074,88.123061,30.7972112804847,1.96073384965557,1.528320597,99.119969648984,34.77,27.8261641521748,23.8466447848286,5022.49319096369,101.675,162.861,20.876,5.577,15.7,73.681,2.545,1.27500836314038,76.915
"137",0.53629078743676,84.0349502563477,28.8118355854605,0.905495625234512,3.789836348,88.715601236208,25,34.8032920195688,36.616198241966,2129.49924655622,145.29,267.76,24.845,6.174,24.9,68.32,3.158,1.61957314710249,45.255
"138",1.46466449452396,98.5845947265625,0,12.3606741573034,4.01004902190614,70.8939912066439,32.0346982473762,51.4466678775641,76.4285180524624,8956.28236443576,96.0769598883564,200.557625151575,11.9,8.1,16.5,73.5876809424939,1.73481524252612,0.627268546979374,83.358
"139",0.201538417468384,19.5,55.25248689584,0.670128424213086,6.013608936,26.8572567692223,1.28,30.7794010844028,43.008616702362,2004.81811175089,202.59,267.219,29.942,7.272,49.8,64.634,3.985,2.28802798506389,13.019
"140",3.83822585376856,100,9.48862385817713,8.31337682505654,2.707452359,122.51550893107,62.32,40.055130499039,42.053195949901,12597.8623899641,71.01,187.605,10.9,9.9,5.2,76.2463414634146,1.41,-0.285609121534849,60.892
"141",1.57751235226904,100,0.573634039385937,16.6234624134847,3.64702466129066,78.9408218542667,45.3,62.6716866466897,41.4815755373269,26435.7401871545,60.557,156.806,11.3,7.833,6.84605826099538,78.4081707317073,1.6235,-0.506170056982176,93.825
"142",3.54832691005148,100,27.8279775694672,4.55275264586545,1.402572899,114.626446198908,53.3,29.8732519100281,37.4315974942496,22538.6540773482,50.998,121.289,9.6,10,3.1,79.0268292682927,1.39,0.0459100367184907,60.567
"143",2.77348654418745,97.43086,64.2493759983531,0.820810138429473,4.651162791,95.345817638578,19.8,55.0982382491968,51.4866409390372,3225.59175373637,131.067,171.761,22.422,5.581,20.4,72.285,2.73,1.32992561181312,58.487
"144",2.01397851214481,99.9,14.0647686823408,0.53401483350485,3.749157276,64.0199526461526,37.4,15.3403417441743,59.0625035060753,2344.36290065451,104.32,146.612,33.446,3.601,19.5,72.444,4.419,2.89862866566735,74.136
"145",3.73261155961199,100,0,40.7420176481562,-2.425256752,122.856463760819,69,62.3196825992818,23.7506073538111,70306.2278449301,49.979,69.247,11.486,1.534,7.7,77.301,2.07,11.2206863282288,98.655
"146",1.91296093535425,100,24.0957070447707,3.92221356080157,6.094215787,119.176058997433,39.93,32.3017990335301,38.4427731193331,8297.48362072379,87.043,203.062,10.5,12.8,9.7,73.4585365853659,1.59,-0.593959183588628,53.829
"147",2.8308298179859,100,3.34274839695926,11.6943481245069,6.852353956,166.037582959075,43,29.2155867713271,21.1399635056199,10674.987707365,136.517,365.664,12.5,14.2,8.6,68.8412195121951,1.567,0.0448873898392816,73.687
"148",4.33849394658379,9.7,90.6555290837025,0.0576164832052646,2.309146191,34.6327287958573,8,12.028512028512,29.99702999703,563.491048683175,221.926,271.344,35.314,7.654,43.9,63.14,4.515,2.66424148029303,23.952
"149",1.54555313618208,75.1175192359573,41.5887594969655,1.20751909871869,7.5815297765,58.6801037001328,7.20578379120846,21.1307245120913,26.3052065975875,1252.22796216115,153.982053687307,215.30787843138,22.5971444627771,7.3603844283076,49,66.8267569031017,2.74421345270099,1.43953503057419,30.9827079464228
"150",5.53432567118864,100,0.00625490772240625,18.9053424973007,5.343137255,188.014964517192,41,49.56979003694,32.9800376316971,19259.5872568465,84.85,104.216,22.018,3.572,13.5,73.574,2.96,2.82593777247208,82.084
"151",3.14429649714185,35.4752998352051,61.4417497571917,0.345245385884236,13.24539414,52.6180726711071,16.7,19.7434981872642,17.2321111733096,1476.47808657841,210.42,270.074,35.47,8.205,51.3,62.62,4.876,2.16169776110491,33.08
"152",2.09923267964623,54.1575889587402,50.2604668379306,0.599610304214953,1.228681197,64.5987075639492,8,24.8780275380191,40.2663635532138,1002.52994032218,182,241.8,38.243,7.321,42.9,64.177,5.063,2.86908520486472,42.23
"153",23.2955964706858,100,0.475165156888014,10.9604087826578,2.8,145.530809270017,71,199.747457121843,173.697074491929,46569.6795060716,43.006,74.486,9.3,4.4,2.2,81.5414634146342,1.15,1.77183287926401,100
"154",24.7058545808308,32.0358581542969,63.4896179429961,0.375183311544364,1.051481633,21.883703745808,5,50.0373153618907,82.3129062038405,1272.44802510598,149.863,188.201,32.47,5.477,23.6,68.572,4.235,2.24386227810355,20.048
