Date,Adj Close
3/23/2018,48.332436
3/26/2018,49.026146
3/27/2018,48.997646
3/28/2018,49.672359
3/29/2018,50.014469
4/2/2018,48.788578
4/3/2018,49.434788
4/4/2018,50.204536
4/5/2018,50.328064
4/6/2018,49.814903
4/9/2018,49.7864
4/10/2018,49.900429
4/11/2018,49.805401
4/12/2018,49.729374
4/13/2018,49.976452
4/16/2018,50.518131
4/17/2018,50.632164
4/18/2018,50.252045
4/19/2018,48.798084
4/20/2018,47.980827
4/23/2018,47.923805
4/24/2018,47.619709
4/25/2018,47.705231
4/26/2018,47.990322
4/27/2018,48.24691
4/30/2018,47.94281
5/1/2018,47.52467
5/2/2018,46.59338
5/3/2018,46.545856
5/4/2018,47.220577
5/7/2018,46.925987
5/8/2018,46.735924
5/9/2018,46.802444
5/10/2018,47.07803
5/11/2018,47.07803
5/14/2018,47.059021
5/15/2018,46.878468
5/16/2018,47.211075
5/17/2018,47.372627
5/18/2018,47.07803
5/21/2018,47.277599
5/22/2018,47.19207
5/23/2018,47.363121
5/24/2018,47.325111
5/25/2018,47.401138
5/29/2018,47.296604
5/30/2018,47.961819
5/31/2018,47.19207
6/1/2018,47.19207
6/4/2018,47.581688
6/5/2018,47.363121
6/6/2018,47.420139
6/7/2018,47.714737
6/8/2018,48.303921
6/11/2018,48.703053
6/12/2018,48.798084
6/13/2018,48.646034
6/14/2018,48.731556
6/15/2018,49.357868
6/18/2018,48.639626
6/19/2018,48.898197
6/20/2018,48.946075
6/21/2018,49.04184
6/22/2018,49.444065
6/25/2018,49.693054
6/26/2018,49.482372
6/27/2018,49.377026
6/28/2018,49.377026
6/29/2018,49.348297
7/2/2018,49.060997
7/3/2018,49.175915
7/5/2018,49.855858
7/6/2018,50.009079
7/9/2018,49.817547
7/10/2018,50.411301
7/11/2018,50.248497
7/12/2018,50.181465
7/13/2018,50.507065
7/16/2018,50.267654
7/17/2018,50.698601
7/18/2018,50.2868
7/19/2018,50.315536
7/20/2018,50.621986
7/23/2018,50.305958
7/24/2018,50.401726
7/25/2018,50.784779
7/26/2018,51.052933
7/27/2018,51.119972
7/30/2018,51.062508
7/31/2018,51.301922
8/1/2018,50.870975
8/2/2018,51.388115
8/3/2018,51.991447
8/6/2018,52.039322
8/7/2018,51.723293
8/8/2018,51.330654
8/9/2018,51.177429
8/10/2018,50.985897
8/13/2018,50.985897
8/14/2018,51.340237
8/15/2018,51.550926
8/16/2018,52.288315
8/17/2018,52.690536
8/20/2018,52.6618
8/21/2018,52.288315
8/22/2018,51.962715
8/23/2018,51.838215
8/24/2018,51.771179
8/27/2018,51.799908
8/28/2018,51.627529
8/29/2018,51.684994
8/30/2018,51.522186
8/31/2018,51.503029
9/4/2018,51.435993
9/5/2018,52.029747
9/6/2018,52.173397
9/7/2018,52.06805
9/10/2018,52.250011
9/11/2018,52.058483
9/12/2018,52.6618
9/13/2018,52.585194
9/14/2018,52.44154
9/17/2018,52.633076
9/18/2018,52.412811
9/19/2018,52.317047
9/20/2018,52.977829
9/21/2018,53.062702
9/24/2018,52.252586
9/25/2018,51.94397
9/26/2018,52.001835
9/27/2018,51.934322
9/28/2018,52.011482
10/1/2018,51.9729
10/2/2018,52.271873
10/3/2018,51.712505
10/4/2018,51.587132
10/5/2018,51.538914
10/8/2018,52.252586
10/9/2018,52.136852
10/10/2018,51.509979
10/11/2018,50.236935
10/12/2018,50.516621
10/15/2018,50.825237
10/16/2018,51.394245
10/17/2018,51.635353
10/18/2018,51.567844
10/19/2018,52.744442
10/22/2018,52.349022
10/23/2018,52.58049
10/24/2018,52.802307
10/25/2018,52.927685
10/26/2018,51.915039
10/29/2018,52.512981
10/30/2018,53.554554
10/31/2018,53.053055
11/1/2018,53.429188
11/2/2018,53.149502
11/5/2018,53.814953
11/6/2018,54.142857
11/7/2018,54.451477
11/8/2018,54.480412
11/9/2018,54.798668
11/12/2018,54.509338
11/13/2018,54.383965
11/14/2018,54.017487
11/15/2018,53.930679
11/16/2018,54.065704
11/19/2018,53.978909
11/20/2018,53.081989
11/21/2018,52.657642
11/23/2018,52.840885
11/26/2018,52.908394
11/27/2018,53.380962
11/28/2018,53.8246
11/29/2018,53.9114
11/30/2018,54.258591
12/3/2018,54.306812
12/4/2018,53.39061
12/6/2018,53.448471
12/7/2018,52.773373
12/10/2018,52.773373
12/11/2018,53.207367
12/12/2018,53.139854
12/13/2018,53.467758
12/14/2018,52.561203
12/17/2018,51.346024
12/18/2018,50.738434
12/19/2018,50.246578
12/20/2018,49.349659
12/21/2018,48.837734
12/24/2018,47.426521
12/26/2018,48.750145
12/27/2018,49.2173
12/28/2018,49.2173
12/31/2018,49.42168
1/2/2019,49.129711
1/3/2019,48.847466
1/4/2019,49.888844
1/7/2019,49.820721
1/8/2019,50.278145
1/9/2019,49.810986
1/10/2019,50.102959
1/11/2019,50.248951
1/14/2019,50.005634
1/15/2019,50.501991
1/16/2019,50.229485
1/17/2019,50.4436
1/18/2019,51.047012
1/22/2019,50.579857
1/23/2019,51.18327
1/24/2019,50.550652
1/25/2019,50.346275
1/28/2019,50.56039
1/29/2019,50.677177
1/30/2019,51.017815
1/31/2019,51.961872
2/1/2019,51.796417
2/4/2019,52.127319
2/5/2019,52.137054
2/6/2019,52.14679
2/7/2019,52.107861
2/8/2019,52.35117
2/11/2019,52.487431
2/12/2019,52.896191
2/13/2019,52.993515
2/14/2019,52.39983
2/15/2019,52.896191
2/19/2019,53.168701
2/20/2019,53.071377
