Date,AdjClose
17/5/2019,31.41
20/5/2019,30.64
21/5/2019,30.98
22/5/2019,29.61
23/5/2019,29.19
24/5/2019,28.87
28/5/2019,28.43
29/5/2019,28.12
30/5/2019,27.88
31/5/2019,26.95
3/6/2019,26.92
4/6/2019,28.82
5/6/2019,30.04
6/6/2019,30.06
7/6/2019,30.60
10/6/2019,30.44
11/6/2019,30.26
12/6/2019,30.78
13/6/2019,32.75
14/6/2019,32.34
17/6/2019,32.22
18/6/2019,32.18
19/6/2019,32.87
20/6/2019,31.82
21/6/2019,31.24
24/6/2019,31.49
25/6/2019,30.94
26/6/2019,31.13
27/6/2019,31.82
28/6/2019,32.27
1/7/2019,32.54
2/7/2019,31.86
3/7/2019,32.38
5/7/2019,32.12
8/7/2019,32.45
9/7/2019,32.02
10/7/2019,32.60
11/7/2019,32.69
12/7/2019,33.43
15/7/2019,33.26
16/7/2019,33.86
17/7/2019,32.91
18/7/2019,33.39
19/7/2019,32.74
22/7/2019,32.56
23/7/2019,33.38
24/7/2019,34.23
25/7/2019,31.34
26/7/2019,30.92
29/7/2019,30.42
30/7/2019,30.39
31/7/2019,30.19
1/8/2019,29.53
2/8/2019,29.14
5/8/2019,28.23
6/8/2019,28.16
7/8/2019,28.43
8/8/2019,28.88
9/8/2019,28.58
12/8/2019,27.45
13/8/2019,27.32
14/8/2019,25.92
15/8/2019,25.23
16/8/2019,25.61
19/8/2019,25.92
20/8/2019,25.65
21/8/2019,26.24
22/8/2019,26.35
23/8/2019,25.24
26/8/2019,25.02
27/8/2019,24.28
28/8/2019,25.16
29/8/2019,26.14
30/8/2019,26.13
3/9/2019,26.33
4/9/2019,26.81
5/9/2019,27.50
6/9/2019,27.60
9/9/2019,28.24
10/9/2019,28.92
11/9/2019,29.55
12/9/2019,29.73
13/9/2019,29.74
16/9/2019,27.58
17/9/2019,28.44
18/9/2019,28.40
19/9/2019,28.10
20/9/2019,27.80
23/9/2019,27.31
24/9/2019,26.81
25/9/2019,27.25
26/9/2019,27.00
27/9/2019,26.82
30/9/2019,26.78
1/10/2019,26.62
2/10/2019,25.19
3/10/2019,25.10
4/10/2019,25.65
7/10/2019,25.65
8/10/2019,26.08
9/10/2019,26.88
10/10/2019,26.99
11/10/2019,27.17
14/10/2019,27.43
15/10/2019,28.07
16/10/2019,27.86
17/10/2019,27.74
18/10/2019,28.03
21/10/2019,28.42
22/10/2019,28.06
23/10/2019,28.09
24/10/2019,29.21
25/10/2019,30.65
28/10/2019,31.14
29/10/2019,30.71
30/10/2019,30.08
31/10/2019,29.85
1/11/2019,30.35
4/11/2019,30.74
5/11/2019,31.07
6/11/2019,30.85
7/11/2019,30.78
8/11/2019,30.65
11/11/2019,30.48
12/11/2019,29.41
13/11/2019,28.55
14/11/2019,28.66
15/11/2019,28.75
18/11/2019,28.49
19/11/2019,29.18
20/11/2019,28.13
21/11/2019,27.83
22/11/2019,28.57
25/11/2019,28.88
26/11/2019,28.94
27/11/2019,28.84
29/11/2019,28.63
2/12/2019,27.98
3/12/2019,27.19
4/12/2019,27.28
5/12/2019,27.14
6/12/2019,27.63
9/12/2019,27.39
10/12/2019,26.90
11/12/2019,26.76
12/12/2019,27.62
13/12/2019,27.38
16/12/2019,27.82
17/12/2019,28.18
18/12/2019,27.90
19/12/2019,28.44
20/12/2019,28.93
23/12/2019,29.19
24/12/2019,29.07
26/12/2019,29.56
27/12/2019,28.34
30/12/2019,28.20
31/12/2019,28.57
2/1/2020,28.98
3/1/2020,27.55
6/1/2020,27.22
7/1/2020,27.12
8/1/2020,27.74
9/1/2020,27.85
10/1/2020,27.22
13/1/2020,27.29
14/1/2020,27.43
15/1/2020,27.48
16/1/2020,28.13
17/1/2020,28.30
21/1/2020,27.10
22/1/2020,27.22
23/1/2020,28.69
24/1/2020,27.54
27/1/2020,26.01
28/1/2020,26.80
29/1/2020,26.70
30/1/2020,27.62
31/1/2020,26.74
3/2/2020,27.06
4/2/2020,28.43
5/2/2020,29.10
6/2/2020,28.30
7/2/2020,28.38
10/2/2020,28.79
11/2/2020,29.84
12/2/2020,30.47
13/2/2020,30.09
14/2/2020,29.20
18/2/2020,28.63
19/2/2020,28.33
20/2/2020,28.51
21/2/2020,27.82
24/2/2020,25.45
25/2/2020,23.12
26/2/2020,22.31
27/2/2020,20.60
28/2/2020,19.05
2/3/2020,18.86
3/3/2020,17.85
4/3/2020,18.53
5/3/2020,16.04
6/3/2020,15.97
9/3/2020,14.75
10/3/2020,17.00
11/3/2020,16.26
12/3/2020,13.45
13/3/2020,14.31
16/3/2020,15.92
17/3/2020,15.58
18/3/2020,11.65
19/3/2020,10.29
20/3/2020,10.38
23/3/2020,10.25
24/3/2020,13.92
25/3/2020,15.39
26/3/2020,15.66
27/3/2020,14.04
30/3/2020,12.25
31/3/2020,12.19
1/4/2020,10.69
2/4/2020,10.06
3/4/2020,9.39
6/4/2020,9.50
7/4/2020,10.22
8/4/2020,11.33
9/4/2020,12.51
13/4/2020,11.56
14/4/2020,11.95
15/4/2020,12.29
16/4/2020,11.07
17/4/2020,11.57
20/4/2020,11.06
21/4/2020,11.00
22/4/2020,10.27
23/4/2020,10.25
24/4/2020,10.31
27/4/2020,10.02
28/4/2020,11.26
29/4/2020,12.63
30/4/2020,12.01
1/5/2020,10.64
4/5/2020,9.82
5/5/2020,9.51
6/5/2020,9.25
7/5/2020,9.54
8/5/2020,10.14
11/5/2020,10.10
