Date,Open,High,Low,Close,Adj Close,Volume
2018-03-23,243.740005,244.089996,237.919998,238.089996,227.795670,3815500
2018-03-26,240.820007,243.809998,238.320007,243.529999,234.066132,5529000
2018-03-27,244.470001,245.039993,237.770004,239.309998,230.010117,3363600
2018-03-28,239.460007,241.220001,237.529999,238.639999,229.366150,4384100
2018-03-29,239.850006,243.610001,239.080002,242.080002,232.672485,2910800
2018-04-02,241.190002,241.699997,233.919998,236.479996,227.290100,4696400
2018-04-03,237.809998,240.000000,235.929993,239.479996,230.173508,3287900
2018-04-04,235.869995,242.809998,235.699997,242.240005,232.826248,4598000
2018-04-05,243.899994,244.889999,242.800003,243.990005,234.508255,3436600
2018-04-06,241.940002,243.509995,236.979996,238.619995,229.346924,4931600
2018-04-09,240.149994,243.250000,239.320007,239.589996,230.279251,2956000
2018-04-10,242.750000,244.380005,241.570007,243.539993,234.075729,2903800
2018-04-11,242.000000,243.990005,241.949997,242.250000,232.835861,2068300
2018-04-12,243.710007,245.250000,243.470001,244.279999,234.787003,1723600
2018-04-13,245.839996,245.839996,242.500000,243.600006,234.133392,2887700
2018-04-16,245.270004,246.350006,244.410004,245.580002,236.036438,2149200
2018-04-17,247.419998,248.809998,246.880005,248.220001,238.573853,2301800
2018-04-18,248.660004,249.220001,247.940002,248.360001,238.708435,1365100
2018-04-19,247.619995,247.889999,245.960007,247.000000,237.401306,1997100
2018-04-20,246.949997,247.130005,243.970001,245.000000,235.479004,2103900
2018-04-23,245.550003,246.080002,243.750000,244.889999,235.373276,1472600
2018-04-24,245.970001,246.119995,240.009995,241.550003,232.163086,3653500
2018-04-25,241.509995,242.630005,239.600006,242.169998,232.758972,2354800
2018-04-26,243.220001,245.470001,242.770004,244.660004,235.152206,2106800
2018-04-27,245.229996,245.570007,243.889999,244.919998,235.402100,2178600
2018-04-30,245.509995,246.050003,242.850006,242.919998,233.479858,2146100
2018-05-01,242.449997,243.520004,240.759995,243.440002,233.979630,2323100
2018-05-02,243.210007,244.020004,241.360001,241.779999,232.384125,1636400
2018-05-03,240.880005,241.899994,237.919998,241.210007,231.836273,2666500
2018-05-04,240.250000,245.059998,239.889999,244.410004,234.911942,1785200
2018-05-07,245.190002,246.190002,244.460007,245.169998,235.642380,3127200
2018-05-08,244.830002,245.529999,243.570007,245.160004,235.632782,1924500
2018-05-09,245.860001,247.899994,245.360001,247.539993,237.920288,1506200
2018-05-10,248.360001,250.199997,248.250000,249.860001,240.150116,1537600
2018-05-11,250.039993,250.919998,249.479996,250.470001,240.736435,1703500
2018-05-14,251.119995,251.759995,250.210007,250.750000,241.005524,1478200
2018-05-15,249.500000,249.520004,248.059998,249.029999,239.352386,2600600
2018-05-16,249.080002,250.539993,249.070007,250.089996,240.371201,2588700
2018-05-17,249.789993,250.990005,249.080002,249.880005,240.169342,1714200
2018-05-18,249.529999,249.850006,248.889999,249.259995,239.573425,1702800
2018-05-21,250.770004,251.679993,250.429993,251.089996,241.332336,1262900
2018-05-22,251.669998,251.940002,250.100006,250.369995,240.640320,1055400
2018-05-23,249.119995,251.149994,248.949997,251.149994,241.389984,1484100
2018-05-24,250.740005,251.000000,248.759995,250.669998,240.928650,2025300
2018-05-25,250.039993,250.639999,249.490005,250.039993,240.323120,1654700
2018-05-29,248.279999,249.080002,245.970001,247.149994,237.545425,4465800
2018-05-30,248.529999,250.880005,248.429993,250.410004,240.678772,1359700
2018-05-31,249.990005,250.300003,248.279999,248.789993,239.121719,2378800
2018-06-01,250.229996,251.649994,250.169998,251.410004,241.639908,1953900
2018-06-04,252.169998,252.800003,251.960007,252.520004,242.706772,2031500
2018-06-05,252.660004,253.130005,251.869995,252.869995,243.043167,1491200
