Date,Open,High,Low,Close,Adj Close,Volume
2018-06-13,281.130005,281.440002,279.760010,279.920013,269.680328,3091200
2018-06-14,280.910004,281.279999,280.029999,280.709991,270.441437,3629100
2018-06-15,279.839996,280.700012,278.549988,280.309998,270.056061,5039000
2018-06-18,278.679993,279.910004,278.140015,279.700012,269.468445,3112600
2018-06-19,277.190002,278.929993,276.690002,278.670013,268.476105,4216500
2018-06-20,279.480011,279.910004,278.779999,279.250000,269.034821,2562900
2018-06-21,279.149994,279.149994,276.839996,277.320007,267.175476,2569000
2018-06-22,278.890015,278.959991,277.660004,277.890015,267.724640,2197900
2018-06-25,276.600006,276.760010,272.230011,274.100006,264.073212,5407400
2018-06-26,273.500000,274.399994,272.640015,273.470001,264.703400,2690800
2018-06-27,274.079987,275.709991,271.029999,271.119995,262.428680,6335400
2018-06-28,271.079987,273.609985,270.320007,272.820007,264.074249,5285700
2018-06-29,273.989990,275.540009,273.049988,273.049988,264.296844,7694400
2018-07-02,271.359985,273.940002,271.100006,273.820007,265.042175,4579700
2018-07-03,274.750000,274.859985,272.290009,272.730011,263.987091,1367800
2018-07-05,274.049988,275.070007,272.829987,275.070007,266.252075,2605600
2018-07-06,275.029999,277.739990,274.619995,277.209991,268.323486,2942200
2018-07-09,278.450012,279.859985,278.420013,279.809998,270.840149,4775400
2018-07-10,280.200012,280.950012,280.010010,280.829987,271.827423,3426800
2018-07-11,279.070007,279.970001,278.450012,278.739990,269.804413,3781200
2018-07-12,280.179993,281.359985,279.540009,281.140015,272.127502,3444900
2018-07-13,281.119995,281.890015,280.600006,281.429993,272.408203,3122700
2018-07-16,281.600006,281.739990,280.799988,281.329987,272.311371,2224100
2018-07-17,280.399994,282.869995,280.359985,282.470001,273.414886,2322300
2018-07-18,282.549988,283.149994,282.010010,283.089996,274.015015,3603800
2018-07-19,282.269989,282.690002,281.420013,281.920013,272.882477,3220900
2018-07-20,281.709991,282.429993,281.450012,281.619995,272.592102,4868600
2018-07-23,281.399994,282.399994,280.980011,282.140015,273.095428,1879900
2018-07-24,283.720001,284.529999,282.609985,283.549988,274.460266,2253000
2018-07-25,283.350006,286.380005,283.269989,286.179993,277.005951,3297300
2018-07-26,285.179993,286.109985,285.079987,285.190002,276.047699,4088800
2018-07-27,285.700012,285.799988,282.359985,283.359985,274.276306,2798100
2018-07-30,283.470001,283.649994,281.309998,281.769989,272.737305,4929600
2018-07-31,282.829987,283.989990,282.350006,283.279999,274.198883,3589000
2018-08-01,283.459991,284.100006,282.109985,282.880005,273.811768,2679900
2018-08-02,281.350006,284.559998,281.119995,284.230011,275.118439,2327600
2018-08-03,284.529999,285.649994,284.320007,285.549988,276.396149,2257900
2018-08-06,285.549988,286.989990,285.200012,286.649994,277.460846,2988500
2018-08-07,287.429993,288.019989,287.250000,287.470001,278.254578,5084500
2018-08-08,287.410004,287.940002,286.970001,287.369995,278.157745,3483800
2018-08-09,287.510010,287.989990,286.940002,287.109985,277.906067,2385500
2018-08-10,285.429993,286.040009,284.359985,285.070007,275.931519,3290500
2018-08-13,285.470001,286.170013,283.769989,284.109985,275.002258,3349700
2018-08-14,284.929993,286.160004,284.500000,285.929993,276.763947,3217200
2018-08-15,284.369995,284.470001,282.149994,283.649994,274.557037,3848900
2018-08-16,285.369995,287.070007,285.369995,286.100006,276.928497,3367800
2018-08-17,285.869995,287.589996,285.399994,287.040009,277.838409,2975900
2018-08-20,287.600006,288.010010,287.070007,287.739990,278.515930,1853200
2018-08-21,288.309998,289.359985,288.130005,288.230011,278.990204,2667500
2018-08-22,287.910004,288.790009,287.600006,288.220001,278.980530,2124500
2018-08-23,287.970001,288.970001,287.470001,287.730011,278.506287,3325300
2018-08-24,288.480011,289.720001,288.420013,289.519989,280.238861,2451900
2018-08-27,290.899994,291.970001,290.730011,291.809998,282.455475,3759500
2018-08-28,292.390015,292.489990,291.470001,291.890015,282.532959,3556400
2018-08-29,292.250000,293.829987,291.959991,293.540009,284.130035,2806000
2018-08-30,293.000000,293.459991,291.700012,292.290009,282.920074,4669400
2018-08-31,291.929993,292.899994,291.369995,292.440002,283.065216,4983200
2018-09-04,291.940002,292.290009,290.760010,291.950012,282.590973,3480500
2018-09-05,291.500000,291.700012,289.950012,291.160004,281.826294,7530000
2018-09-06,291.190002,291.570007,289.049988,290.309998,281.003540,3838800
2018-09-07,289.000000,290.769989,288.769989,289.600006,280.316284,5450700
2018-09-10,290.820007,291.109985,289.940002,290.250000,280.945465,2767500
2018-09-11,289.399994,291.619995,289.029999,291.220001,281.884399,3015600
2018-09-12,291.130005,291.859985,290.299988,291.239990,281.903748,2634400
2018-09-13,292.390015,293.119995,292.089996,292.920013,283.529907,1818000
2018-09-14,293.160004,293.359985,292.100006,292.910004,283.520203,2616900
2018-09-17,292.910004,292.940002,291.119995,291.440002,282.097321,2466900
2018-09-18,291.660004,293.690002,291.660004,293.070007,283.675079,2520100
2018-09-19,293.029999,293.799988,292.950012,293.279999,283.878357,2354100
2018-09-20,294.739990,296.070007,294.630005,295.760010,286.278809,3987700
2018-09-21,296.570007,296.690002,295.260010,295.359985,285.891632,3918800
2018-09-24,294.790009,294.940002,293.799988,294.470001,285.030182,3412700
2018-09-25,294.970001,295.070007,293.920013,294.160004,284.730133,3341900
2018-09-26,293.040009,294.410004,291.579987,292.019989,283.891144,4082400
2018-09-27,292.570007,294.070007,291.929993,292.820007,284.668915,2628200
2018-09-28,292.149994,293.440002,292.100006,292.730011,284.581390,5172100
2018-10-01,294.299988,295.100006,293.160004,293.869995,285.689667,3455400
2018-10-02,293.730011,294.529999,293.320007,293.750000,285.572968,2927500
2018-10-03,294.920013,295.399994,293.510010,293.950012,285.767456,3473900
2018-10-04,293.390015,293.420013,289.820007,291.739990,283.618958,3837300
2018-10-05,291.869995,292.440002,288.359985,289.929993,281.859283,4367900
2018-10-08,289.170013,290.359985,287.600006,289.940002,281.869049,5377400
2018-10-09,289.549988,291.010010,288.929993,289.589996,281.528778,5886800
2018-10-10,288.940002,288.989990,279.940002,280.250000,272.448792,8209500
2018-10-11,279.230011,280.970001,272.399994,274.329987,266.693573,10570100
2018-10-12,278.829987,279.140015,274.390015,278.029999,270.290588,7286400
2018-10-15,277.589996,279.089996,276.369995,276.529999,268.832306,3517500
2018-10-16,278.649994,282.959991,278.130005,282.619995,274.752838,5113200
2018-10-17,282.549988,283.230011,279.630005,282.559998,274.694458,5944900
2018-10-18,281.470001,282.130005,277.019989,278.510010,270.757233,4418500
2018-10-19,279.260010,281.369995,277.589996,278.269989,270.523865,3043300
2018-10-22,279.059998,279.410004,276.440002,277.220001,269.503113,3852700
2018-10-23,272.959991,276.890015,270.609985,275.570007,267.899078,5541400
2018-10-24,275.390015,275.790009,266.640015,267.140015,259.703735,5209200
2018-10-25,269.369995,273.829987,268.200012,272.019989,264.447845,4590500
2018-10-26,267.869995,270.730011,264.239990,267.100006,259.664856,7153700
2018-10-29,270.839996,272.250000,261.850006,265.609985,258.216309,6301500
2018-10-30,265.640015,270.119995,265.079987,269.859985,262.347961,9531100
2018-10-31,272.790009,275.239990,272.179993,272.760010,265.167328,7040700
2018-11-01,273.660004,275.760010,272.410004,275.420013,267.753265,3428700
2018-11-02,276.750000,277.250000,271.609985,273.890015,266.265839,3391900
2018-11-05,274.579987,276.040009,273.390015,275.570007,267.899078,5606200
2018-11-06,275.399994,277.339996,275.309998,277.160004,269.444824,2430900
2018-11-07,279.630005,283.230011,279.179993,283.130005,275.248596,7669100
2018-11-08,282.299988,283.329987,281.350006,282.519989,274.655579,7660600
2018-11-09,281.149994,281.339996,278.250000,279.959991,272.166840,5327400
2018-11-12,279.250000,279.510010,274.010010,274.510010,266.868561,3786800
2018-11-13,275.109985,277.369995,273.260010,274.109985,266.479675,5396800
2018-11-14,276.200012,276.649994,270.429993,272.209991,264.632568,4614900
2018-11-15,270.809998,275.570007,268.959991,274.959991,267.306000,6163900
2018-11-16,273.829987,276.730011,273.290009,275.739990,268.064301,3803900
2018-11-19,275.109985,275.369995,270.079987,271.130005,263.582672,3555700
2018-11-20,267.309998,268.959991,265.089996,266.100006,258.692719,6274100
2018-11-21,267.799988,269.089996,266.959991,266.959991,259.528748,4247100
2018-11-23,265.100006,266.760010,265.019989,265.309998,257.924683,1660900
2018-11-26,267.760010,269.529999,267.309998,269.470001,261.968872,3187200
2018-11-27,268.450012,270.350006,267.619995,270.320007,262.795227,4565100
