Date,Open,High,Low,Close,Adj Close,Volume
2018-03-23,67.519997,68.300003,66.620003,66.769997,61.140785,19214300
2018-03-26,67.540001,68.070000,66.760002,67.970001,62.239620,15953000
2018-03-27,68.260002,68.540001,66.940002,67.330002,61.653564,13923100
2018-03-28,67.370003,67.599998,65.910004,66.019997,60.454014,18228700
2018-03-29,66.309998,67.680000,66.300003,67.410004,61.726833,13968100
2018-04-02,67.150002,67.269997,64.930000,66.059998,60.490639,18993100
2018-04-03,66.309998,67.529999,65.680000,67.470001,61.781773,14114300
2018-04-04,66.440002,67.529999,65.980003,67.379997,61.699348,12490800
2018-04-05,67.550003,69.019997,67.550003,68.589996,62.807331,13528400
2018-04-06,68.160004,68.489998,66.459999,67.349998,61.671886,18883900
2018-04-09,67.669998,68.529999,67.400002,67.669998,61.964905,10819800
2018-04-10,68.739998,70.459999,68.720001,69.910004,64.016060,21842200
2018-04-11,69.800003,70.800003,69.709999,70.639999,64.684509,21190900
2018-04-12,70.879997,71.190002,70.379997,70.629997,64.675354,14311600
2018-04-13,71.010002,71.699997,70.910004,71.410004,65.389603,13330400
2018-04-16,71.570000,72.470001,71.190002,72.139999,66.058052,14024300
2018-04-17,72.330002,72.750000,71.919998,72.419998,66.314453,16105300
2018-04-18,73.050003,74.220001,73.029999,73.559998,67.358330,17311500
2018-04-19,73.620003,74.199997,73.199997,73.650002,67.440742,18150300
2018-04-20,73.500000,73.559998,72.830002,73.300003,67.120262,13690400
2018-04-23,73.070000,73.760002,72.669998,73.750000,67.532310,14844600
2018-04-24,73.949997,74.459999,72.559998,72.959999,66.808929,22787500
2018-04-25,72.730003,73.639999,72.269997,73.540001,67.340027,13163300
2018-04-26,73.809998,74.669998,73.580002,74.610001,68.319817,12216900
2018-04-27,73.849998,74.190002,73.529999,73.820000,67.596413,10539300
2018-04-30,73.699997,74.639999,73.680000,73.809998,67.587273,12963200
2018-05-01,73.440002,73.489998,72.430000,73.360001,67.175201,13800900
2018-05-02,73.139999,74.239998,73.040001,73.660004,67.449913,13434700
2018-05-03,73.320000,73.610001,72.500000,73.489998,67.294235,15329600
2018-05-04,73.290001,74.110001,72.989998,73.849998,67.623886,13585500
2018-05-07,74.430000,75.570000,73.800003,73.949997,67.715462,17973700
2018-05-08,73.980003,74.570000,72.639999,74.529999,68.246544,28774100
2018-05-09,75.440002,76.889999,75.430000,76.050003,69.638412,24903900
2018-05-10,76.349998,76.800003,76.000000,76.620003,70.160362,13890100
2018-05-11,76.790001,77.250000,76.559998,76.730003,70.261078,12010700
2018-05-14,76.970001,77.610001,76.970001,77.260002,70.746399,10226300
2018-05-15,77.089996,77.400002,76.690002,77.279999,70.764709,10482700
2018-05-16,77.169998,77.599998,76.779999,77.550003,71.011948,11997200
2018-05-17,77.800003,78.830002,77.760002,78.720001,72.083321,16271300
2018-05-18,78.580002,78.660004,78.050003,78.110001,71.524750,14092700
2018-05-21,78.550003,78.910004,78.150002,78.910004,72.257286,11513100
2018-05-22,78.900002,79.419998,77.639999,77.860001,71.295822,16583400
2018-05-23,77.410004,77.910004,76.769997,77.849998,71.286652,16605800
2018-05-24,76.949997,77.070000,76.220001,76.570000,70.114571,19154800
2018-05-25,75.220001,75.320000,73.839996,74.580002,68.292336,32453500
2018-05-29,74.000000,74.809998,73.660004,74.349998,68.081741,19327500
2018-05-30,74.989998,76.940002,74.959999,76.599998,70.142036,23022200
2018-05-31,76.040001,76.930000,75.860001,76.019997,69.610931,13258700
2018-06-01,76.279999,76.889999,75.970001,76.379997,69.940582,14102500
2018-06-04,76.639999,77.199997,75.519997,75.720001,69.336235,13689200
2018-06-05,75.349998,76.120003,75.180000,75.540001,69.171402,13707900
2018-06-06,75.820000,76.099998,75.230003,75.900002,69.501053,13479200
2018-06-07,76.300003,77.489998,76.279999,77.050003,70.554108,15178900
2018-06-08,77.139999,77.349998,76.419998,76.900002,70.416740,11236600
2018-06-11,76.879997,77.650002,76.720001,77.300003,70.783035,10717800
2018-06-12,77.300003,77.480003,76.500000,76.709999,70.242760,15707200
2018-06-13,76.470001,76.870003,76.110001,76.419998,69.977219,12502100
2018-06-14,76.639999,76.860001,76.129997,76.309998,69.876488,10291100
2018-06-15,75.360001,75.510002,74.010002,74.169998,68.375671,16089400
2018-06-18,73.980003,75.410004,73.980003,74.910004,69.057861,13184400
2018-06-19,74.010002,75.019997,73.800003,74.739998,68.901131,12607600
2018-06-20,75.190002,75.349998,74.470001,75.070000,69.205360,11655900
2018-06-21,74.540001,74.580002,73.330002,73.680000,67.923958,15009800
2018-06-22,75.500000,75.970001,75.139999,75.150002,69.279114,28036300
2018-06-25,74.930000,75.040001,73.139999,73.639999,67.887077,18380300
2018-06-26,73.830002,74.860001,73.570000,74.570000,68.744431,13523600
2018-06-27,75.190002,76.510002,75.160004,75.570000,69.666298,20583900
2018-06-28,75.680000,75.959999,74.889999,75.470001,69.574127,14285400
2018-06-29,75.680000,76.739998,75.680000,75.940002,70.007393,13167900
2018-07-02,75.410004,75.430000,74.410004,74.820000,68.974884,15296600
2018-07-03,75.599998,76.459999,75.110001,75.290001,69.408173,9308200
2018-07-05,75.750000,75.989998,74.989998,75.209999,69.334419,9969500
2018-07-06,74.980003,75.910004,74.629997,75.669998,69.758492,9310300
2018-07-09,76.129997,76.910004,76.089996,76.800003,70.800217,11059200
2018-07-10,77.269997,78.000000,77.180000,77.370003,71.325691,11003600
2018-07-11,76.650002,77.120003,75.230003,75.730003,69.813812,19362800
2018-07-12,75.930000,76.349998,75.320000,75.860001,69.933640,12568000
2018-07-13,75.930000,76.720001,75.730003,76.260002,70.302391,11423100
2018-07-16,75.510002,75.879997,74.739998,75.379997,69.491135,11390600
2018-07-17,75.129997,75.500000,74.660004,75.080002,69.214584,9753200
2018-07-18,74.720001,75.239998,73.980003,75.129997,69.260674,15351500
2018-07-19,74.930000,75.470001,74.849998,75.150002,69.279114,16231800
2018-07-20,75.150002,75.320000,74.650002,74.889999,69.039421,10861200
2018-07-23,75.099998,75.150002,74.430000,74.559998,68.735214,7623800
2018-07-24,74.889999,75.940002,74.790001,75.500000,69.601768,10168500
2018-07-25,75.599998,76.320000,75.230003,76.129997,70.182549,11035300
2018-07-26,76.290001,77.099998,76.139999,76.959999,70.947716,12187400
2018-07-27,76.099998,77.029999,76.000000,76.629997,70.643486,12640900
2018-07-30,77.239998,77.559998,76.980003,77.260002,71.224274,11395000
2018-07-31,77.400002,77.610001,76.940002,77.120003,71.095215,11290500
2018-08-01,76.449997,76.480003,75.639999,76.050003,70.108803,11172500
2018-08-02,75.489998,75.779999,75.000000,75.629997,69.721611,9689700
2018-08-03,75.489998,75.629997,74.860001,75.239998,69.362076,7663300
2018-08-06,75.459999,75.879997,75.010002,75.519997,69.620209,8200100
2018-08-07,76.290001,76.500000,75.839996,76.080002,70.136459,11798300
2018-08-08,75.550003,75.809998,75.080002,75.529999,69.629417,9398800
2018-08-09,75.589996,75.730003,74.709999,74.830002,68.984108,15232500
2018-08-10,74.660004,75.290001,74.510002,75.290001,69.408173,16977700
2018-08-13,75.150002,75.410004,74.290001,74.330002,68.523170,9817000
