Date,Price
2/8/2016,68.21788
2/9/2016,67.921036
2/10/2016,67.301872
2/11/2016,67.513901
2/12/2016,68.726791
2/16/2016,68.887939
2/17/2016,69.549507
2/18/2016,69.931168
2/19/2016,69.973587
2/22/2016,69.880295
2/23/2016,68.896431
2/24/2016,69.142395
2/25/2016,69.557991
2/26/2016,69.337471
2/29/2016,67.9804
3/1/2016,68.938828
3/2/2016,70.143219
3/3/2016,69.888779
3/4/2016,69.795471
3/7/2016,71.635986
3/8/2016,70.083855
3/9/2016,69.888779
3/10/2016,69.702171
3/11/2016,69.710663
3/14/2016,69.897263
3/15/2016,70.244987
3/16/2016,70.287422
3/17/2016,71.330635
3/18/2016,71.415482
3/21/2016,70.923538
3/22/2016,71.347618
3/23/2016,71.033783
3/24/2016,71.228882
3/28/2016,71.432426
3/29/2016,71.695351
3/30/2016,71.68689
3/31/2016,70.898094
4/1/2016,70.363739
4/4/2016,70.533371
4/5/2016,69.727608
4/6/2016,70.660591
4/7/2016,69.863327
4/8/2016,70.575783
4/11/2016,70.669083
4/12/2016,71.542694
4/13/2016,71.949814
4/14/2016,72.45871
4/15/2016,72.06855
4/18/2016,72.755569
4/19/2016,73.120285
4/20/2016,73.620697
4/21/2016,73.612221
4/22/2016,74.239845
4/25/2016,74.070206
4/26/2016,74.324669
4/27/2016,75.028633
4/28/2016,74.66394
4/29/2016,74.977768
5/2/2016,75.596916
5/3/2016,74.731804
5/4/2016,74.587616
5/5/2016,74.672424
5/6/2016,75.071053
5/9/2016,75.121941
5/10/2016,76.32634
5/11/2016,75.958572
5/12/2016,76.694122
5/13/2016,75.830276
5/16/2016,76.608582
5/17/2016,76.574379
5/18/2016,76.420425
5/19/2016,77.07045
5/20/2016,76.753983
5/23/2016,76.634247
5/24/2016,76.694122
5/25/2016,77.198738
5/26/2016,76.805313
5/27/2016,76.984932
5/31/2016,76.138168
6/1/2016,76.32634
6/2/2016,75.719078
6/3/2016,75.58223
6/6/2016,76.411865
6/7/2016,77.583633
6/8/2016,77.652046
6/9/2016,77.549408
6/10/2016,76.959274
6/13/2016,77.480995
6/14/2016,77.344139
6/15/2016,77.113213
6/16/2016,78.019821
6/17/2016,77.592171
6/20/2016,77.93428
6/21/2016,78.284981
6/22/2016,77.977066
6/23/2016,78.5159
6/24/2016,76.454636
6/27/2016,76.00132
6/28/2016,77.754684
6/29/2016,79.080383
6/30/2016,80.175171
7/1/2016,80.260674
7/5/2016,79.559349
7/6/2016,80.474518
7/7/2016,79.508041
7/8/2016,80.004105
7/11/2016,80.303459
7/12/2016,81.210052
7/13/2016,81.1502
7/14/2016,81.210052
7/15/2016,81.355484
7/18/2016,81.098877
7/19/2016,80.799522
7/20/2016,80.337669
7/21/2016,80.269241
7/22/2016,80.40609
7/25/2016,78.858009
7/26/2016,78.284981
7/27/2016,77.754684
7/28/2016,77.147408
7/29/2016,76.078316
8/1/2016,73.435455
8/2/2016,74.444695
8/3/2016,74.829567
8/4/2016,74.821045
8/5/2016,74.88945
8/8/2016,75.770409
8/9/2016,75.864479
8/10/2016,74.536102
8/11/2016,74.803505
8/12/2016,75.778229
8/15/2016,75.743721
8/16/2016,75.838608
8/17/2016,76.00251
8/18/2016,76.692581
8/19/2016,75.735107
8/22/2016,75.898987
8/23/2016,75.666092
8/24/2016,75.924866
8/25/2016,75.441826
8/26/2016,75.277916
8/29/2016,75.7696
8/30/2016,75.493568
8/31/2016,75.165794
9/1/2016,74.907013
9/2/2016,75.40731
9/6/2016,76.399284
9/7/2016,76.114624
9/8/2016,76.813339
9/9/2016,74.907013
9/12/2016,75.295189
9/13/2016,73.501007
9/14/2016,72.974808
9/15/2016,73.388855
9/16/2016,72.483139
9/19/2016,72.310623
9/20/2016,71.197906
9/21/2016,71.853439
9/22/2016,72.060478
9/23/2016,71.982841
9/26/2016,71.646439
9/27/2016,71.801697
9/28/2016,74.958763
9/29/2016,74.579239
9/30/2016,75.28656
10/3/2016,75.088165
10/4/2016,74.398087
10/5/2016,75.045029
10/6/2016,75.079529
10/7/2016,74.820747
10/10/2016,76.287148
10/11/2016,75.683342
10/12/2016,75.157158
10/13/2016,74.665489
10/14/2016,74.648239
10/17/2016,74.648239
10/18/2016,74.846626
10/19/2016,75.191673
10/20/2016,75.226166
10/21/2016,74.717247
10/24/2016,74.967392
10/25/2016,74.803505
10/26/2016,75.122658
10/27/2016,74.976021
10/28/2016,73.130081
10/31/2016,71.870689
11/1/2016,72.155365
11/2/2016,71.982841
