     Date     Volume 
 19010214     664184 
 19010215     778228 
 19010216     415967 
 19010218     944579 
 19010219     662214 
 19010220     652201 
 19010221     552605 
 19010222     C      
 19010224     C      
 19010225     750167 
 19010226     784829 
 19010227     604954 
 19010228     507004 
 19010301     528467 
 19010302     282243 
 19010304     618287 
 19010305     746217 
 19010306     906764 
 19010307     675155 
 19010308     621987 
 19010309     369300 
 19010311     590531 
 19010312     643067 
 19010313     729831 
 19010314     739104 
 19010315    1010796 
 19010316     615016 
 19010318    1373328 
 19010319    1556980 
 19010320    1078399 
 19010321     974265 
 19010322    1170184 
 19010323     515864 
 19010325    1219175 
 19010326     958182 
 19010327    1317657 
 19010328    1068201 
 19010329    1056092 
 19010330     571963 
 19010401    1295704 
 19010402    1170510 
 19010403    1665074 
 19010404    1476101 
 19010405     C      
 19010406     C      
 19010408    1317490 
 19010409    1096763 
 19010410    1624783 
 19010411    1307443 
 19010412     643386 
 19010413    1177443 
 19010415    1093267 
 19010416    1311855 
 19010417    1350576 
 19010418    1445806 
 19010419    1801786 
 19010420     944339 
 19010422    1898235 
 19010423    1569006 
 19010424    1726514 
 19010425    1943416 
 19010426    1498628 
 19010427     C      
 19010429    2471258 
 19010430    3075089 
 19010501    2467435 
 19010502    2686765 
 19010503    2671660 
 19010504     816685 
 19010506    2063805 
 19010507    1868347 
 19010508    2024500 
 19010509    3052945 
 19010510    1701571 
 19010511     C      
 19010513    1025205 
 19010514    1048455 
 19010515    1250337 
 19010516     768552 
 19010517     776722 
 19010518     493676 
 19010520     870799 
 19010521     550120 
 19010522     654042 
 19010523     746151 
 19010524     627826 
 19010525     235194 
 19010527     345405 
 19010528     504646 
 19010529     658309 
 19010530     C      
 19010531    1211618 
 19010601     839430 
 19010603    1418698 
 19010604    1295211 
 19010605    1239202 
 19010606     871323 
 19010607     632702 
 19010608     411001 
 19010610     688651 
 19010611     650803 
 19010612     507548 
 19010613     798627 
 19010614     985168 
 19010615     405846 
 19010617     890390 
 19010618     750937 
 19010619     599536 
 19010620     401469 
 19010621     553884 
 19010622     198934 
 19010624     348366 
 19010625     622785 
 19010626     435333 
 19010627     550575 
 19010628     413924 
 19010629     270491 
 19010701     351287 
 19010702     153758 
 19010703     320207 
 19010704     C      
 19010705     C      
 19010706     C      
 19010708     826291 
 19010709     761059 
 19010710     799460 
 19010711    1081884 
 19010712     952068 
 19010713     415455 
 19010715     840537 
 19010716     568221 
 19010717     930225 
 19010718     925813 
 19010719    1053385 
 19010720     318941 
 19010722     715860 
 19010723     630118 
 19010724     381440 
 19010725     431955 
 19010726     413072 
 19010727     228436 
 19010729     558131 
 19010730     294512 
 19010731     400598 
 19010801     422348 
 19010802     320018 
 19010803     134802 
 19010805     590999 
 19010806     364277 
 19010807     276310 
 19010808     389763 
 19010809     276535 
 19010810     130907 
 19010812     242826 
 19010813     374304 
 19010814     395084 
 19010815     418593 
 19010816     380386 
 19010817     121515 
 19010819     243205 
 19010820     398875 
 19010821     356617 
 19010822     317357 
 19010823     534559 
 19010824     370655 
 19010826     375418 
 19010827     691061 
 19010828     392888 
 19010829     251194 
 19010830     369715 
 19010831     C      
 19010902     C      
 19010903     446450 
 19010904     432305 
 19010905     428437 
 19010906     213823 
 19010907     790915 
 19010909     730390 
 19010910     671597 
 19010911     384866 
 19010912     308020 
 19010913     877349 
 19010914     C      
 19010916     842270 
 19010917     657345 
 19010918     571111 
 19010919     C      
 19010920     472970 
 19010921     203317 
 19010923     534818 
 19010924     492653 
 19010925     604242 
 19010926     463851 
 19010927     423589 
 19010928     238264 
 19010930     327168 
 19011001     251483 
 19011002     354099 
 19011003     275155 
 19011004     413785 
 19011005     148592 
 19011007     453162 
 19011008     332446 
 19011009     264090 
 19011010     503767 
 19011011     815242 
 19011012     451772 
 19011014     431667 
 19011015     615970 
 19011016     325085 
 19011017     359969 
 19011018     369665 
 19011019      79715 
 19011021     215623 
 19011022     316773 
 19011023     701752 
 19011024     749610 
 19011025     603641 
 19011026     285955 
 19011028     524575 
 19011029     399614 
 19011030     447916 
 19011031     264597 
 19011101     405572 
 19011102     320505 
 19011104     411284 
 19011105     C      
 19011106     829588 
 19011107    1089876 
 19011108     847750 
 19011109     416965 
 19011111     974647 
 19011112     774021 
 19011113     657185 
 19011114     846352 
 19011115     512416 
 19011116     331004 
 19011118     512762 
 19011119     634934 
 19011120     581258 
 19011121     685416 
 19011122     993585 
 19011123     509130 
 19011125     970394 
 19011126     550285 
 19011127     606140 
 19011128     C      
 19011129     555963 
 19011130     298728 
 19011202     638346 
 19011203     542782 
 19011204     587115 
 19011205     524482 
 19011206     617163 
 19011207     544617 
 19011209     763271 
 19011210     429033 
 19011211     519932 
 19011212     794170 
 19011213     476550 
 19011214     260637 
 19011216     362916 
 19011217     363138 
 19011218     526814 
 19011219     235079 
 19011220     515358 
 19011221     260775 
 19011223     275096 
 19011224     333042 
 19011225     C      
 19011226     421015 
 19011227     643739 
 19011228     313486 
 19011230     698347 
 19011231     642567 
 19020101     C      
 19020102     948861 
 19020103     973009 
 19020104     315895 
 19020106     736527 
 19020107     713259 
 19020108     703548 
 19020109     592510 
 19020110     526827 
 19020111     283699 
 19020113     501462 
 19020114     582686 
 19020115     532117 
 19020116     341684 
 19020117     459083 
 19020118     266978 
 19020120     435702 
 19020121     315786 
 19020122     216931 
 19020123     271187 
 19020124     257606 
 19020125     140410 
 19020127     285768 
 19020128     373947 
 19020129     425007 
 19020130     319375 
 19020131     338360 
 19020201     123407 
 19020203     511462 
 19020204     240366 
 19020205     385890 
 19020206     635731 
 19020207     558157 
 19020208     271744 
 19020210     659503 
 19020211     759930 
 19020212     C      
 19020213     765089 
 19020214     534390 
 19020215     167261 
 19020217     334222 
 19020218     470772 
 19020219     422917 
 19020220     949284 
 19020221     500604 
 19020222     C      
 19020224     515909 
 19020225     349759 
 19020226     516286 
 19020227     333813 
 19020228     357376 
 19020301     163794 
 19020303     303645 
 19020304     301160 
 19020305     429722 
 19020306     488085 
 19020307     504260 
 19020308     153043 
 19020310     507791 
 19020311     485072 
 19020312     508200 
 19020313     372995 
 19020314     376605 
 19020315     207566 
 19020317     422601 
 19020318     492890 
 19020319     433367 
 19020320     430981 
 19020321     460288 
 19020322     288159 
 19020324     482325 
 19020325     429062 
 19020326     315388 
 19020327     391586 
 19020328     C      
 19020329     C      
 19020331     319824 
 19020401     244948 
 19020402     258245 
 19020403     506211 
 19020404     984121 
 19020405     323623 
 19020407     489389 
 19020408     556396 
 19020409     880681 
 19020410    1084740 
 19020411     632915 
 19020412     318094 
 19020414     824383 
 19020415    1660951 
 19020416    1170391 
 19020417    1160400 
 19020418    1311025 
 19020419     719110 
 19020421    1807499 
 19020422    1400079 
 19020423    1023406 
 19020424    1041435 
 19020425    1215870 
 19020426     378512 
 19020428     796662 
 19020429     747666 
 19020430     867940 
 19020501     732449 
 19020502     848726 
 19020503     517225 
 19020505     693869 
 19020506     769636 
 19020507    1170325 
 19020508     575777 
 19020509     346325 
 19020510     255835 
 19020512     574853 
 19020513     439114 
 19020514     336342 
 19020515     280560 
 19020516     403014 
 19020517     293784 
 19020519     520873 
 19020520     445378 
 19020521     408876 
 19020522     435021 
 19020523     273883 
 19020524     185145 
 19020526     445633 
 19020527     229793 
 19020528     337630 
 19020529     273818 
 19020530     C      
 19020602     227847 
 19020603     111456 
 19020604     159876 
 19020605     321796 
 19020606     213163 
 19020607      46157 
 19020609     140738 
 19020610     241674 
 19020611     318918 
 19020612     219709 
 19020613     283151 
 19020614     133915 
 19020616     371732 
 19020617     358357 
 19020618     670588 
 19020619     525779 
 19020620     330088 
 19020621     138240 
 19020623     412445 
 19020624     429874 
 19020625     235594 
 19020626     261565 
 19020627     235123 
 19020628     136387 
 19020630     255660 
 19020701     236562 
 19020702     223857 
 19020703     342204 
 19020704     C      
 19020705     C      
 19020707     363641 
 19020708     552686 
 19020709     425715 
 19020710     503609 
 19020711     428588 
 19020712     161884 
 19020714     595540 
 19020715     689366 
 19020716     757291 
 19020717    1039320 
 19020718    1012573 
 19020719     440294 
 19020721     815983 
 19020722     698329 
 19020723     772845 
 19020724     846566 
 19020725     869911 
 19020726     369925 
 19020728     731710 
 19020729     644683 
 19020730     628553 
 19020731     560840 
 19020801     295235 
 19020802     109220 
 19020804     279545 
 19020805     231325 
 19020806     390202 
 19020807     611018 
 19020808     583094 
 19020809     C      
 19020811     568613 
 19020812     377654 
 19020813     435259 
 19020814     556625 
 19020815     582823 
 19020816     192724 
 19020818     336144 
 19020819     537860 
 19020820     804404 
 19020821     817450 
 19020822     522736 
 19020823     382754 
 19020825     907988 
 19020826    1224505 
 19020827    1043116 
 19020828     630485 
 19020829     702532 
 19020830     C      
 19020901     C      
 19020902    1152690 
 19020903    1392250 
 19020904    1053240 
 19020905     738743 
 19020906     346047 
 19020908     758586 
 19020909    1036280 
 19020910    1170622 
 19020911     983964 
 19020912     670695 
 19020913     279940 
 19020915     560614 
 19020916     390822 
 19020917     391690 
 19020918     431376 
 19020919     770057 
 19020920     383481 
 19020922     572831 
 19020923     984425 
 19020924    1258801 
 19020925     776272 
 19020926     611474 
 19020927     471017 
 19020929     967935 
 19020930    1093305 
 19021001     934356 
 19021002     434030 
 19021003     809526 
 19021004     371939 
 19021006     877045 
 19021007     815115 
 19021008     651663 
 19021009     527716 
 19021010     317565 
 19021011     285127 
 19021013     944213 
 19021014     697725 
 19021015     489776 
 19021016     892042 
 19021017     982527 
 19021018     294825 
 19021020     513122 
 19021021     515348 
 19021022     403961 
 19021023     319727 
 19021024     260920 
 19021025     189164 
 19021027     398826 
 19021028     284906 
 19021029     506640 
 19021030     345040 
 19021031     382885 
 19021101     158460 
 19021103     364263 
 19021104     C      
 19021105     526774 
 19021106     572559 
 19021107     344244 
 19021108     579092 
 19021110    1202280 
 19021111     804969 
 19021112    1094227 
 19021113     630868 
 19021114    1250280 
 19021115     602238 
 19021117     655363 
 19021118     565352 
 19021119     779841 
 19021120     651154 
 19021121     951489 
 19021122     481666 
 19021124     813418 
 19021125     799428 
 19021126     626446 
 19021127     C      
 19021128     449819 
 19021129     195440 
 19021201     560399 
 19021202     610703 
 19021203     406460 
 19021204     332047 
 19021205     317754 
 19021206     146905 
 19021208     227646 
 19021209     170935 
 19021210     491248 
 19021211    1066806 
 19021212    1028251 
 19021213     378677 
 19021215     801234 
 19021216     598885 
 19021217     542555 
 19021218     845463 
 19021219     729987 
 19021220     226460 
 19021222     588648 
 19021223     510760 
 19021224     322535 
 19021225     C      
 19021226     630140 
 19021227     286268 
 19021229     502065 
 19021230     628509 
 19021231     881615 
 19030101     C      
 19030102     727412 
 19030103     371051 
 19030105     695033 
 19030106    1037112 
 19030107     848092 
 19030108    1032100 
 19030109    1441366 
 19030110     643504 
 19030112     642511 
 19030113     828675 
 19030114     731471 
 19030115     508637 
 19030116     437263 
 19030117     217815 
 19030119     467021 
 19030120     430904 
 19030121     479925 
 19030122     360760 
 19030123     387810 
 19030124     184090 
 19030126     322409 
 19030127     350704 
 19030128     237665 
 19030129     333383 
 19030130     352434 
 19030131     123220 
 19030202     476731 
 19030203     426239 
 19030204     515074 
 19030205     705655 
 19030206     360940 
 19030207     265860 
 19030209     753803 
 19030210     617400 
 19030211     372294 
 19030212     C      
 19030213     545840 
 19030214     146457 
 19030216     264878 
 19030217     313099 
 19030218     263703 
 19030219     423030 
 19030220     309244 
 19030221     C      
 19030223     C      
 19030224     484383 
 19030225     293075 
 19030226     347920 
 19030227     545867 
 19030228     297573 
 19030302     394742 
 19030303     717895 
 19030304     335650 
 19030305     772406 
 19030306     652361 
 19030307     333275 
 19030309     904455 
 19030310     619521 
 19030311     557223 
 19030312     314075 
 19030313     354832 
 19030314     157002 
 19030316     526182 
 19030317     331363 
 19030318     426143 
 19030319     522160 
 19030320     406652 
 19030321     206239 
 19030323     292877 
 19030324     398037 
 19030325     350233 
 19030326     429833 
