MBS DATA,,,,,,,,,,
Trade date,Contractual settlement date,Trade amount,Agency,Coupon,Term,CUSIP,Transaction category,Price,Primary dealer,Investment manager
Jan 6 2009,Mar 17 2009,50.0,FHLMC,4.0,15 YR,02R04043,Purchase,101.57,Morgan Stanley & Co. Incorporated,Goldman Sachs Asset Management
Jan 6 2009,Feb 18 2009,100.0,FHLMC,4.5,15 YR,02R04242,Purchase,102.92,Morgan Stanley & Co. Incorporated,Goldman Sachs Asset Management
Jan 6 2009,Jan 13 2009,250.0,FHLMC,5.0,30 YR,02R05061,Purchase,102.63,Morgan Stanley & Co. Incorporated,Goldman Sachs Asset Management
Jan 7 2009,Mar 17 2009,100.0,FNMA,4.0,15 YR,01F04043,Purchase,101.61,Barclays Capital Inc.,BlackRock
Jan 7 2009,Jan 13 2009,200.0,FHLMC,4.5,30 YR,02R04261,Purchase,102.42,Barclays Capital Inc.,BlackRock
Jan 7 2009,Jan 13 2009,150.0,FHLMC,5.0,30 YR,02R05061,Purchase,103.14,Barclays Capital Inc.,BlackRock
Jan 7 2009,Feb 12 2009,200.0,FNMA,4.0,30 YR,01F04062,Purchase,100.64,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",BlackRock
Jan 7 2009,Jan 13 2009,200.0,FHLMC,5.5,30 YR,02R05261,Purchase,103.54,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",BlackRock
Jan 7 2009,Mar 18 2009,100.0,GNMA,4.5,30 YR,01N04263,Purchase,101.77,BNP Paribas Securities Corp.,BlackRock
Jan 7 2009,Feb 19 2009,50.0,GNMA,4.5,30 YR,21H04262,Purchase,102.22,BNP Paribas Securities Corp.,BlackRock
Jan 7 2009,Mar 12 2009,200.0,FNMA,4.0,30 YR,01F04063,Purchase,100.50,Citigroup Global Markets Inc.,BlackRock
Jan 7 2009,Mar 12 2009,200.0,FHLMC,4.0,30 YR,02R04063,Purchase,100.42,Citigroup Global Markets Inc.,BlackRock
Jan 7 2009,Feb 12 2009,50.0,FNMA,4.0,20 YR,01F04052,Purchase,100.91,Credit Suisse Securities (USA) LLC,BlackRock
Jan 7 2009,Feb 18 2009,100.0,FHLMC,4.0,15 YR,02R04042,Purchase,101.98,Credit Suisse Securities (USA) LLC,BlackRock
Jan 7 2009,Mar 12 2009,150.0,FHLMC,4.0,30 YR,02R04063,Purchase,100.41,Credit Suisse Securities (USA) LLC,BlackRock
Jan 7 2009,Jan 13 2009,50.0,FNMA,5.5,30 YR,31416BVE,Purchase,103.73,Credit Suisse Securities (USA) LLC,BlackRock
Jan 7 2009,Mar 12 2009,200.0,FHLMC,4.0,30 YR,02R04063,Purchase,100.36,Deutsche Bank Securities Inc.,BlackRock
Jan 7 2009,Feb 18 2009,100.0,FHLMC,5.0,15 YR,02R05042,Purchase,103.32,Deutsche Bank Securities Inc.,BlackRock
Jan 7 2009,Jan 13 2009,100.0,FHLMC,5.0,30 YR,02R05061,Purchase,103.00,Deutsche Bank Securities Inc.,BlackRock
Jan 7 2009,Jan 13 2009,200.0,FHLMC,5.0,30 YR,02R05061,Purchase,103.14,Deutsche Bank Securities Inc.,BlackRock
Jan 7 2009,Jan 13 2009,150.0,FNMA,5.0,30 YR,01F05061,Purchase,103.29,"Goldman, Sachs & Co.",BlackRock
Jan 7 2009,Jan 13 2009,200.0,FNMA,6.0,30 YR,01F06061,Purchase,103.80,"Goldman, Sachs & Co.",BlackRock
Jan 7 2009,Jan 13 2009,36.0,FNMA,5.5,30 YR,31402RCR,Purchase,103.69,"Goldman, Sachs & Co.",BlackRock
Jan 7 2009,Jan 13 2009,200.0,FNMA,6.0,30 YR,01F06061,Purchase,103.88,J.P. Morgan Securities LLC,BlackRock
Jan 7 2009,Jan 13 2009,52.5,FNMA,5.5,30 YR,31402DP7,Purchase,103.73,J.P. Morgan Securities LLC,BlackRock
Jan 7 2009,Jan 13 2009,150.3,FNMA,5.0,30 YR,31402RJV,Purchase,103.35,J.P. Morgan Securities LLC,BlackRock
Jan 7 2009,Feb 18 2009,100.0,FHLMC,4.0,15 YR,02R04042,Purchase,101.91,Morgan Stanley & Co. Incorporated,BlackRock
Jan 7 2009,Feb 18 2009,100.0,FHLMC,4.5,15 YR,02R04242,Purchase,102.98,Morgan Stanley & Co. Incorporated,BlackRock
Jan 7 2009,Feb 12 2009,100.0,FHLMC,4.5,30 YR,02R04262,Purchase,102.22,Morgan Stanley & Co. Incorporated,BlackRock
Jan 7 2009,Jan 13 2009,100.0,FHLMC,5.0,30 YR,02R05061,Purchase,103.19,Morgan Stanley & Co. Incorporated,BlackRock
Jan 7 2009,Jan 20 2009,25.7,FHLMC,4.5,15 YR,3128MB3H,Purchase,103.33,Morgan Stanley & Co. Incorporated,BlackRock
Jan 7 2009,Jan 20 2009,30.8,FHLMC,4.5,15 YR,3128MBUJ,Purchase,103.33,Morgan Stanley & Co. Incorporated,BlackRock
Jan 7 2009,Jan 13 2009,38.8,FHLMC,6.0,30 YR,312930GH,Purchase,103.98,RBS Securities Inc.,BlackRock
Jan 7 2009,Jan 13 2009,14.2,FHLMC,6.5,30 YR,312930GN,Purchase,104.52,RBS Securities Inc.,BlackRock
Jan 7 2009,Jan 13 2009,9.6,FHLMC,6.5,30 YR,312930LB,Purchase,104.52,RBS Securities Inc.,BlackRock
Jan 7 2009,Jan 13 2009,5.0,FHLMC,6.0,30 YR,312930LF,Purchase,103.98,RBS Securities Inc.,BlackRock
Jan 7 2009,Feb 12 2009,150.0,FHLMC,4.5,30 YR,02R04262,Purchase,101.97,UBS Securities LLC,BlackRock
Jan 8 2009,Feb 18 2009,100.0,FNMA,4.0,15 YR,01F04042,Purchase,102.26,Barclays Capital Inc.,PIMCO
Jan 8 2009,Mar 12 2009,300.0,FNMA,4.0,30 YR,01F04063,Purchase,100.45,Barclays Capital Inc.,PIMCO
Jan 8 2009,Jan 13 2009,250.0,FNMA,5.0,30 YR,01F05061,Purchase,103.45,Barclays Capital Inc.,PIMCO
Jan 8 2009,Jan 13 2009,249.7,FHLMC,5.0,20 YR,02R05051,Purchase,103.44,Barclays Capital Inc.,PIMCO
Jan 8 2009,Mar 17 2009,100.0,FNMA,4.0,15 YR,01F04043,Purchase,101.80,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",PIMCO
Jan 8 2009,Mar 12 2009,300.0,FNMA,4.0,30 YR,01F04063,Purchase,100.44,"Merrill Lynch, Pierce, Fenner & Smith Incorporated",PIMCO
