Date,Close
11/27/2017,2601.419922
11/28/2017,2627.040039
11/29/2017,2626.070068
11/30/2017,2647.580078
12/1/2017,2642.219971
12/4/2017,2639.439941
12/5/2017,2629.570068
12/6/2017,2629.27002
12/7/2017,2636.97998
12/8/2017,2651.5
12/11/2017,2659.98999
12/12/2017,2664.110107
12/13/2017,2662.850098
12/14/2017,2652.01001
12/15/2017,2675.810059
12/18/2017,2690.159912
12/19/2017,2681.469971
12/20/2017,2679.25
12/21/2017,2684.570068
12/22/2017,2683.340088
12/26/2017,2680.5
12/27/2017,2682.620117
12/28/2017,2687.540039
12/29/2017,2673.610107
1/2/2018,2695.810059
1/3/2018,2713.060059
1/4/2018,2723.98999
1/5/2018,2743.149902
1/8/2018,2747.709961
1/9/2018,2751.290039
1/10/2018,2748.22998
1/11/2018,2767.560059
1/12/2018,2786.23999
1/16/2018,2776.419922
1/17/2018,2802.560059
1/18/2018,2798.030029
1/19/2018,2810.300049
1/22/2018,2832.969971
1/23/2018,2839.129883
1/24/2018,2837.540039
1/25/2018,2839.25
1/26/2018,2872.870117
1/29/2018,2853.530029
1/30/2018,2822.429932
1/31/2018,2823.810059
2/1/2018,2821.97998
2/2/2018,2762.129883
2/5/2018,2648.939941
2/6/2018,2695.139893
2/7/2018,2681.659912
2/8/2018,2581
2/9/2018,2619.550049
2/12/2018,2656
2/13/2018,2662.939941
2/14/2018,2698.629883
2/15/2018,2731.199951
2/16/2018,2732.219971
2/20/2018,2716.26001
2/21/2018,2701.330078
2/22/2018,2703.959961
2/23/2018,2747.300049
2/26/2018,2779.600098
2/27/2018,2744.280029
2/28/2018,2713.830078
3/1/2018,2677.669922
3/2/2018,2691.25
3/5/2018,2720.939941
3/6/2018,2728.120117
3/7/2018,2726.800049
3/8/2018,2738.969971
3/9/2018,2786.570068
3/12/2018,2783.02002
3/13/2018,2765.310059
3/14/2018,2749.47998
3/15/2018,2747.330078
3/16/2018,2752.01001
3/19/2018,2712.919922
3/20/2018,2716.939941
3/21/2018,2711.929932
3/22/2018,2643.689941
3/23/2018,2588.26001
3/26/2018,2658.550049
3/27/2018,2612.620117
3/28/2018,2605
3/29/2018,2640.870117
4/2/2018,2581.879883
4/3/2018,2614.449951
4/4/2018,2644.689941
4/5/2018,2662.840088
4/6/2018,2604.469971
4/9/2018,2613.159912
4/10/2018,2656.870117
4/11/2018,2642.189941
4/12/2018,2663.98999
4/13/2018,2656.300049
4/16/2018,2677.840088
4/17/2018,2706.389893
4/18/2018,2708.639893
4/19/2018,2693.129883
4/20/2018,2670.139893
4/23/2018,2670.290039
4/24/2018,2634.560059
4/25/2018,2639.399902
4/26/2018,2666.939941
4/27/2018,2669.909912
4/30/2018,2648.050049
5/1/2018,2654.800049
5/2/2018,2635.669922
5/3/2018,2629.72998
5/4/2018,2663.419922
5/7/2018,2672.629883
5/8/2018,2671.919922
5/9/2018,2697.790039
5/10/2018,2723.070068
5/11/2018,2727.719971
5/14/2018,2730.129883
5/15/2018,2711.449951
5/16/2018,2722.459961
5/17/2018,2720.129883
5/18/2018,2712.969971
5/21/2018,2733.01001
5/22/2018,2724.439941
5/23/2018,2733.290039
5/24/2018,2727.76001
5/25/2018,2721.330078
5/29/2018,2689.860107
5/30/2018,2724.01001
5/31/2018,2705.27002
6/1/2018,2734.620117
6/4/2018,2746.870117
6/5/2018,2748.800049
6/6/2018,2772.350098
6/7/2018,2770.370117
6/8/2018,2779.030029
