     DATE              Volume
     19710406          19975440 
     19710407          22272320 
     19710408          17590700 
     19710412          19416560 
     19710413          23200730 
     19710414          19447240 
     19710415          22544580 
     19710416          18287356 
     19710419          17723520 
     19710420          17890810 
     19710421          17047273 
     19710422          19271810 
     19710423          20158260 
     19710426          18866160 
     19710427          21255970 
     19710428          24821290 
     19710429          20347703 
     19710430          17490040 
     19710503          16121100 
     19710504          17316650 
     19710505          17264753 
     19710506          19294270 
     19710507          16489860 
     19710510          12814450 
     19710511          17732948 
     19710512          15148790 
     19710513          17640650 
     19710514          16464840 
     19710517          15978740 
     19710518          17647040 
     19710519          11734260 
     19710520          13335800 
     19710521          12096470 
     19710524          12067850 
     19710525          16056920 
     19710526          13534900 
     19710527          12645690 
     19710528          11760810 
     19710601          11930360 
     19710602          17740480 
     19710603          18798800 
     19710604          14406750 
     19710607          13801200 
     19710608          13608840 
     19710609          14257400 
     19710610          12449460 
     19710611          12269930 
     19710614          11540070 
     19710615          13556920 
     19710616          14309540 
     19710617          13987960 
     19710618          15038760 
     19710621          16493920 
     19710622          15194270 
     19710623          12642280 
     19710624          11361450 
     19710625          10586120 
     19710628           9804650 
     19710629          14462440 
     19710630          15410140 
     19710701          13078940 
     19710702           9967000 
     19710706          10413211 
     19710707          14525470 
     19710708          13923090 
     19710709          12646370 
     19710712          12027330 
     19710713          13541440 
     19710714          14379800 
     19710715          13085010 
     19710716          13879400 
     19710719          11429580 
     19710720          12542780 
     19710721          11920410 
     19710722          12577400 
     19710723          12374900 
     19710726           9940130 
     19710727          11563912 
     19710728          13941615 
     19710729          14576180 
     19710730          12974200 
     19710802          11880780 
     19710803          13512080 
     19710804          15411450 
     19710805          12103050 
     19710806           9495880 
     19710809           8116800 
     19710810           9469380 
     19710811          11368930 
     19710812          15914333 
     19710813           9963750 
     19710816          31730960 
     19710817          26793630 
     19710818          20675570 
     19710819          14189860 
     19710820          11899548 
     19710823          13046020 
     19710824          18706530 
     19710825          18288880 
     19710826          13999170 
     19710827          12498590 
     19710830          11119020 
     19710831          10436890 
     19710901          10776470 
     19710902          10694120 
     19710903          14038110 
     19710907          17087480 
     19710908          14232960 
     19710909          15784330 
     19710910          11382850 
     19710913          10003500 
     19710914          11410790 
     19710915          11078360 
     19710916          10548310 
     19710917          11027950 
     19710920           9546740 
     19710921          10650730 
     19710922          14254820 
     19710923          13255750 
     19710924          13465840 
     19710927          10224820 
     19710928          11256140 
     19710929           8584590 
     19710930          13493950 
     19711001          13405620 
     19711004          14579850 
     19711005          12368330 
     19711006          15631680 
     19711007          17769280 
     19711008          13871950 
     19711011           7802420 
     19711012          14341880 
     19711013          13548770 
     19711014          12869190 
     19711015          13124390 
     19711018          10427380 
     19711019          13046390 
     19711020          16347070 
     19711021          14989850 
     19711022          14553290 
     19711025           7348650 
     19711026          13379060 
     19711027          13497950 
     19711028          15530780 
     19711029          11714370 
     19711101          10965230 
     19711102          13334410 
     19711103          14590680 
     19711104          15754620 
     19711105          10793480 
     19711108           8521010 
     19711109          12057700 
     19711110          13419990 
     19711111          13315150 
     19711112          14548830 
     19711115           9379880 
     19711116          13300280 
     19711117          12841550 
     19711118          13014400 
     19711119          12421390 
     19711122          11362880 
     19711123          16838480 
     19711124          11872070 
     19711126          10870680 
     19711129          18898710 
     19711130          18323270 
     19711201          21042490 
     19711202          17789490 
     19711203          16763010 
     19711206          17480580 
     19711207          15248930 
     19711208          16652430 
     19711209          14710105 
     19711210          17515270 
     19711213          17027000 
     19711214          16059400 
     19711215          16891730 
     19711216          21080700 
     19711217          18274730 
     19711220          23816760 
     19711221          20467880 
     19711222          18937940 
     19711223          16005965 
     19711227          11896870 
     19711228          15086060 
     19711229          17150006 
     19711230          13811200 
     19711231          14048520 
     19720103          12571800 
     19720104          15197180 
     19720105          21355680 
     19720106          21118860 
     19720107          17129800 
     19720110          15316780 
     19720111          17975120 
     19720112          20971130 
     19720113          16414960 
     19720114          14963500 
     19720117          15865130 
     19720118          21068950 
     19720119          18803480 
     19720120          20210530 
     19720121          18818730 
     19720124          15618880 
     19720125          17566470 
     19720126          14948510 
     19720127          20360640 
     19720128          24999390 
     19720131          18243780 
     19720201          19609710 
     19720202          24077230 
     19720203          19879660 
     19720204          17892170 
     19720207          16934790 
     19720208          17399360 
     19720209          19858760 
     19720210          23462290 
     19720211          17852330 
     19720214          15840040 
     19720215          17773510 
     19720216          20674140 
     19720217          22335900 
     19720218          16593140 
     19720222          16669670 
     19720223          16777840 
     19720224          16005430 
     19720225          18186150 
     19720228          18199290 
     19720229          20320080 
     19720301          23679740 
     19720302          22204810 
     19720303          20417930 
     19720306          21003780 
     19720307          22646200 
     19720308          21291110 
     19720309          21463900 
     19720310          19697430 
     19720313          16724570 
     19720314          22376960 
     19720315          19457340 
     19720316          16702580 
     19720317          16039640 
     19720320          16427790 
     19720321          18613330 
     19720322          15400160 
     19720323          18380920 
     19720324          15396810 
     19720327          12183130 
     19720328          15388140 
     19720329          13870550 
     19720330          14361510 
     19720403          14996960 
     19720404          18112380 
     19720405          22966970 
     19720406          22830980 
     19720407          19906330 
     19720410          19473990 
     19720411          19931010 
     19720412          24672166 
     19720413          17989780 
     19720414          17466890 
     19720417          15391650 
     19720418          19417990 
     19720419          19185960 
     19720420          18182900 
     19720421          18194120 
     19720424          14650400 
     19720425          17032500 
     19720426          17713060 
     19720427          15738970 
     19720428          14175070 
     19720501          12889630 
     19720502          15372900 
     19720503          15910010 
     19720504          14793320 
     19720505          13211000 
     19720508          11250810 
     19720509          19916290 
     19720510          13873470 
     19720511          12904260 
     19720512          13997210 
     19720515          13602280 
     19720516          14080360 
     19720517          13604930 
     19720518          17374860 
     19720522          16030148 
     19720523          16412530 
     19720524          17871480 
     19720525          16480360 
     19720526          15734430 
     19720530          15810850 
     19720531          15232780 
     19720601          14917830 
     19720602          15405960 
     19720605          13449870 
     19720606          15981750 
     19720607          15224030 
     19720608          13815320 
     19720609          12788930 
     19720612          13396560 
     19720613          15718340 
     19720614          18329680 
     19720615          16922180 
     19720616          13012310 
     19720619          11657740 
     19720620          14978070 
     19720621          15520430 
     19720622          13408240 
     19720623          13939200 
     19720626          12728160 
     19720627          13752319 
     19720628          12137104 
     19720629          14614640 
     19720630          12864520 
     19720703           8144490 
     19720705          14710200 
     19720706          19518760 
     19720707          12901552 
     19720710          11708720 
     19720711          12836970 
     19720712          16156910 
     19720713          14748940 
     19720714          13913440 
     19720717          13141140 
     19720718          16828810 
     19720719          17886770 
     19720720          15107740 
     19720721          14008960 
     19720724          18022080 
     19720725          17180860 
     19720726          14130630 
     19720727          13872330 
     19720728          13051200 
     19720731          11123680 
     19720801          15541180 
     19720802          17925720 
     19720803          19978790 
     19720804          15706030 
     19720807          13229150 
     19720808          14554962 
     19720809          15728090 
     19720810          15263670 
     19720811          16574270 
     19720814          18875070 
     19720815          16663920 
     19720816          14959640 
     19720817          14353610 
     19720818          16153070 
     19720821          14282340 
     19720822          18562320 
     19720823          18676730 
     19720824          18282520 
     19720825          13839960 
     19720828          10717565 
     19720829          12303060 
     19720830          12476120 
     19720831          12349220 
     19720901          11600710 
     19720905          10639560 
     19720906          12017456 
     19720907          11092264 
     19720908          10975670 
     19720911          10718940 
     19720912          13565800 
     19720913          13077540 
     19720914          12502961 
     19720915          11690030 
     19720918           8883680 
     19720919          13402330 
     19720920          11963670 
     19720921          11932440 
     19720922          12576360 
     19720925          10908700 
     19720926          13153480 
     19720927          14626610 
     19720928          14711280 
     19720929          16235730 
     19721002          12435820 
     19721003          13093060 
     19721004          16647770 
     19721005          17739110 
     19721006          16633340 
     19721009           7945020 
     19721010          13314440 
     19721011          11902130 
     19721012          13136210 
     19721013          12873070 
     19721016          10948060 
     19721017          13416820 
     19721018          17262680 
     19721019          13858920 
     19721020          15745910 
     19721023          14198690 
     19721024          15246980 
     19721025          17434530 
     19721026          20820612 
     19721027          15471600 
     19721030          11822300 
     19721031          15452900 
     19721101          21363110 
     19721102          20693040 
     19721103          22508730 
     19721106          21332040 
     19721108          24633950 
     19721109          17046140 
     19721110          24363940 
     19721113          17203840 
     19721114          20191290 
     19721115          23270990 
     19721116          19577810 
     19721117          20244410 
     19721120          16676100 
     19721121          22118520 
     19721122          24511250 
     19721124          15763320 
     19721127          18191930 
     19721128          19215530 
     19721129          17403600 
     19721130          19344650 
     19721201          22575616 
     19721204          19733330 
     19721205          17827430 
     19721206          18611090 
     19721207          19296160 
