Date,Liquid Alternative Beta Index,Event Driven Liquid Index,Global Strategies Liquid Index,Long/Short Liquid Index,Managed Futures Liquid Index,Merger Arbitrage Liquid Index
2018/10/22,1303.8715388824,1495.8819774778,1101.64237071665,1526.12264063491,1041.17247439778,1186.29590156926
2018/10/21,1307.05662597817,1502.0949815356,1103.18387316284,1526.89684076536,1048.0036613071,1185.83264265607
2018/10/20,1304.82325516882,1494.8270506036,1105.52722687868,1529.05663420054,1040.47913545136,1181.49050231544
2018/10/19,1309.27674042017,1503.96307042681,1097.46432406818,1531.1527211758,1046.76915829641,1189.96289912861
2018/10/18,1298.99455617048,1503.45190066305,1100.73331678113,1532.8779139344,1037.53649144286,1188.96039697279
2018/10/17,1308.23367192828,1500.06630523704,1107.14065608791,1531.04018414221,1036.67532249967,1193.52862570806
2018/10/16,1310.05590702678,1504.4350634481,1107.52924935731,1542.4671828324,1035.43034459774,1187.124080839
2018/10/15,1295.94247999155,1496.74543733227,1093.72476377653,1522.73266936878,1038.44356144517,1192.80201886354
2018/10/14,1295.8659274533,1501.00536234495,1098.07052015806,1537.41158423659,1040.76991469841,1187.04395801469
2018/10/13,1302.49743251822,1489.96809483085,1095.4271737287,1526.92831622378,1044.29070152365,1187.27078934541
2018/10/12,1296.26620606507,1497.89883660263,1092.09438111176,1531.7554321269,1037.52765753782,1190.1411466433
2018/10/11,1298.01763132864,1487.72456832822,1086.79369108475,1522.73079725682,1038.60833530591,1180.15181656846
2018/10/10,1303.51373388006,1501.05414724643,1103.0451744887,1529.12963217874,1055.13680768725,1183.30197290743
2018/10/09,1314.64572489039,1507.1820244521,1108.80079362267,1548.17719455547,1064.72064606385,1183.84001630783
2018/10/08,1313.79038782749,1498.87843769135,1111.09078533867,1546.82419502244,1069.29694472979,1183.23392148621
2018/10/07,1320.13661191105,1512.45618257423,1112.02331112875,1546.86182534345,1059.94401923551,1178.21902187071
2018/10/06,1314.59598190875,1505.43205047135,1107.85487112351,1548.73281281733,1061.41837134974,1178.48243970051
2018/10/05,1315.03580935354,1506.68235282048,1114.98804679758,1556.68129104392,1058.24931606708,1177.32056274331
2018/10/04,1320.13552464855,1508.70874745061,1113.04367487487,1563.82546069339,1069.26567917277,1186.42096315634
2018/10/03,1325.05798548426,1521.06046190879,1118.07786638347,1573.74436897409,1070.44150186297,1186.34019245412
2018/10/02,1326.93044266559,1515.01501709599,1121.74558771987,1576.32355996135,1058.03526319412,1178.02475726221
2018/10/01,1326.69306848639,1519.31938641321,1120.109580323,1584.67720815831,1062.9014147668,1181.49508874205
2018/09/30,1327.59959180621,1520.33380317512,1125.53564716665,1574.59440774098,1056.84649457242,1191.3578531474
2018/09/29,1338.46913868283,1515.15792177321,1125.93143970936,1582.77340066525,1052.67041244037,1184.83901713816
2018/09/28,1336.32474057271,1510.76999532376,1118.79442319265,1584.56951350804,1056.51619652924,1185.6253000268
2018/09/27,1337.54574637147,1517.38845088092,1119.17603743617,1586.89343795106,1050.60127844184,1192.29130436351
2018/09/26,1330.83661448903,1513.34995070301,1112.54330998562,1579.771230194,1045.35317786597,1195.74425012388
2018/09/25,1333.20994904534,1523.13683102865,1118.26129003695,1578.27517715769,1050.28800201129,1186.99753200076
2018/09/24,1323.58671268535,1516.34828171331,1121.11268877148,1580.497358858,1042.99816539851,1187.26035341838
2018/09/23,1327.5423308042,1519.19863350079,1120.0405314259,1590.25373772699,1039.59431141604,1181.34847197517
2018/09/22,1325.94676311017,1513.29072379929,1119.54121312715,1584.83385744163,1040.58655697722,1184.45291839694
2018/09/21,1327.52594579141,1521.86038010832,1113.55014456455,1587.45505967675,1037.28590650186,1182.36519662274
