date,open,high,low,close,volume,vwap
2013-09-01 18:00:00,1640.25,1642.0,1639.0,1641.75,19792,1640.6266041835086
2013-09-01 19:00:00,1641.5,1641.75,1640.0,1640.5,3695,1640.8561569688768
2013-09-01 20:00:00,1640.25,1643.5,1639.75,1642.5,10705,1641.928538066324
2013-09-01 21:00:00,1642.5,1642.75,1641.75,1642.75,5479,1642.2753695929914
2013-09-01 22:00:00,1642.5,1642.75,1640.25,1641.0,4389,1641.3804966962862
2013-09-01 23:00:00,1640.75,1643.25,1640.75,1642.75,3010,1642.288953488372
2013-09-02 00:00:00,1642.75,1644.0,1642.75,1643.0,2138,1643.1938727782974
2013-09-02 01:00:00,1643.0,1643.5,1642.0,1642.75,3482,1642.639718552556
2013-09-02 02:00:00,1642.75,1644.5,1642.25,1642.5,8108,1643.482671435619
2013-09-02 03:00:00,1642.25,1646.0,1642.25,1644.5,25471,1644.4330218680068
2013-09-02 04:00:00,1644.5,1647.25,1644.25,1646.75,15848,1646.006262619889
2013-09-02 05:00:00,1646.75,1646.75,1645.25,1646.25,10310,1645.7995150339477
2013-09-02 06:00:00,1646.0,1647.0,1645.75,1646.75,8185,1646.5305742211362
2013-09-02 07:00:00,1646.75,1648.5,1646.0,1647.25,18707,1647.3180093013311
2013-09-02 08:00:00,1647.25,1648.25,1646.75,1647.0,11664,1647.5619427297668
2013-09-02 09:00:00,1647.25,1647.25,1645.25,1645.75,13622,1646.243337982675
2013-09-02 10:00:00,1646.0,1648.25,1645.5,1647.75,13341,1646.9992316917771
2013-09-02 11:00:00,1648.0,1648.25,1646.5,1647.5,10663,1647.550431398293
2013-09-02 12:00:00,,,,,0,
2013-09-02 13:00:00,,,,,0,
2013-09-02 14:00:00,,,,,0,
2013-09-02 15:00:00,,,,,0,
2013-09-02 16:00:00,,,,,0,
2013-09-02 17:00:00,,,,,0,
2013-09-02 18:00:00,1647.5,1648.5,1645.25,1645.5,5768,1647.092709778086
2013-09-02 19:00:00,1645.5,1646.5,1645.25,1645.5,1839,1645.7509516041328
2013-09-02 20:00:00,1645.25,1647.25,1645.25,1647.25,6310,1646.5972266244057
2013-09-02 21:00:00,1647.25,1647.25,1646.0,1646.75,2564,1646.740542121685
2013-09-02 22:00:00,1646.75,1647.5,1646.25,1646.5,3888,1646.9030992798355
2013-09-02 23:00:00,1646.75,1648.25,1646.5,1648.0,5272,1647.800976858877
2013-09-03 00:00:00,1647.75,1648.0,1646.25,1646.75,6336,1647.4249131944443
2013-09-03 01:00:00,1646.75,1648.5,1646.75,1648.25,2462,1647.972481722177
2013-09-03 02:00:00,1648.25,1649.0,1648.0,1648.5,8278,1648.4544575984537
2013-09-03 03:00:00,1648.25,1648.5,1646.25,1648.5,26748,1647.4692313443995
2013-09-03 04:00:00,1648.25,1648.5,1642.5,1643.25,45009,1645.035487346975
2013-09-03 05:00:00,1643.25,1646.75,1642.25,1643.0,47486,1644.070110137725
2013-09-03 06:00:00,1643.0,1647.0,1643.0,1646.0,16022,1645.7290912495318
