date,open,high,low,close,volume,vwap
09/01/2013 21:22:07.387,1640.25,1643.5,1639.0,1642.0,41728.0,1641.257488976227
09/02/2013 02:47:28.967,1642.0,1646.0,1640.25,1644.75,41732.0,1643.6827374676507
09/02/2013 06:23:18.390,1644.75,1647.5,1643.75,1647.25,41728.0,1646.0722176955521
09/02/2013 09:16:58.263,1647.25,1648.5,1645.25,1646.0,41735.0,1646.987115131185
09/02/2013 21:53:31.394,1646.0,1648.5,1645.25,1646.25,41702.0,1647.07533811328
09/03/2013 02:34:04.573,1646.5,1649.0,1646.25,1647.5,41760.0,1647.6704861111111
09/03/2013 03:56:00.918,1647.5,1648.5,1642.5,1643.5,41731.0,1645.9426265845534
09/03/2013 04:18:03.893,1643.5,1646.75,1642.25,1643.5,41722.0,1643.8588574373232
09/03/2013 06:30:03.608,1643.5,1647.0,1642.75,1643.75,41737.0,1645.08399621439
09/03/2013 07:49:34.026,1643.75,1646.75,1642.5,1646.5,41709.0,1644.6342575942842
09/03/2013 08:30:15.316,1646.5,1647.0,1645.5,1647.0,41641.0,1646.3269133786412
09/03/2013 08:32:17.619,1647.0,1649.25,1647.0,1648.0,41845.0,1648.1605508423945
09/03/2013 08:35:23.218,1648.0,1649.5,1647.75,1649.25,41710.0,1648.6649724286742
09/03/2013 08:40:18.809,1649.25,1650.0,1648.25,1649.5,41639.0,1649.0467290280747
09/03/2013 08:46:27.282,1649.5,1649.75,1647.25,1647.75,41840.0,1648.1347932600384
09/03/2013 08:54:50.789,1647.75,1648.0,1646.25,1646.5,41732.0,1647.190303603949
09/03/2013 09:02:09.295,1646.5,1648.0,1644.25,1644.5,41735.0,1646.2786929435727
09/03/2013 09:09:14.325,1644.5,1647.5,1644.25,1645.75,41729.0,1646.2478372354958
09/03/2013 09:16:06.570,1645.75,1648.75,1645.75,1647.0,41729.0,1647.5620551654724
09/03/2013 09:23:58.716,1647.0,1647.25,1643.75,1644.0,41731.0,1645.1646018547362
09/03/2013 09:32:55.170,1644.0,1646.5,1644.0,1646.25,41722.0,1645.132717750827
09/03/2013 09:46:48.332,1646.25,1647.75,1645.5,1647.25,41742.0,1646.4998203248526
09/03/2013 09:58:50.469,1647.25,1647.25,1644.75,1645.25,41730.0,1646.0236220944164
09/03/2013 10:15:00.231,1645.25,1646.75,1644.5,1646.5,41734.0,1645.613354818613
09/03/2013 10:20:55.573,1646.5,1646.75,1642.5,1643.0,41729.0,1644.0887212729756
09/03/2013 10:24:36.979,1643.0,1643.25,1640.0,1640.75,41725.0,1641.453529059317
09/03/2013 10:28:21.619,1640.75,1641.5,1638.5,1639.0,41739.0,1640.0993734876254
09/03/2013 10:32:21.173,1639.0,1639.5,1637.25,1639.25,41723.0,1638.4504949308534
09/03/2013 10:39:07.083,1639.25,1639.5,1637.5,1638.5,41734.0,1638.6682021852687
09/03/2013 10:47:40.053,1638.5,1640.0,1636.25,1636.75,41722.0,1638.1984444657494
09/03/2013 10:58:46.822,1636.75,1639.25,1636.75,1638.0,41745.0,1638.0057432027788
09/03/2013 11:11:04.177,1638.0,1639.5,1637.25,1639.0,41725.0,1638.2357279808268
09/03/2013 11:24:38.802,1639.0,1639.25,1636.25,1638.0,41735.0,1637.602318198155
09/03/2013 11:41:25.057,1638.0,1638.25,1636.5,1637.0,41702.0,1637.4415735456332
09/03/2013 11:47:45.054,1637.0,1637.0,1634.25,1634.5,41667.0,1635.4802721578228
09/03/2013 12:00:44.437,1634.5,1635.25,1632.75,1633.0,41821.0,1634.3086906099807
